,Symbol,2021,2020,2019,2018,2017,2016
105,CVX,6.51,-0.62,4.81,5.85,2.73,0.67
106,CMG,11.47,5.5,10.79,11.76,9.26,0.97
107,CB,2.85,1.8,,2.63,2.06,3.54
108,CHD,9.779,10.14,9.8,9.41,9.6,10.77
109,CI,4.5,4.37,4.19,3.31,4.41,3.61
110,CINF.O,,,,,,
111,CTAS.O,15.08,13.97,11.6,11.62,9.44,8.21
112,CSCO.O,14.72,14.18,14.18,13.35,10.65,9.6
113,C,0.94,0.51,0.98,0.94,0.8,0.82
114,CFG,1.189,0.6,1.1,1.11,0.86,0.73
115,CLX,8.15,14.71,16.58,16.12,16.88,15.44
116,CME.O,1.49,2.41,3.19,3.06,2.24,2.25
117,CMS,2.629,2.7,2.76,2.77,2.73,2.69
118,KO,11.099,9.71,10.74,10.45,9.45,9.42
119,CTSH.O,12.509,10.93,13.91,17.16,15.27,15.13
120,CL,17.559,17.01,17.94,20.86,20.53,20.97
121,CMCSA.O,5.469,4.49,5.6,5.4,5.36,4.93
122,CMA,1.3,0.58,1.68,1.75,1.19,0.67
123,CAG,5.11,5.79,5.01,5.49,8.38,6.46
124,COP,10.439,-1.56,5.75,7.44,0.91,-3.52
125,ED,2.43,2.31,2.57,2.64,2.62,2.55
126,STZ,7.4,7.15,6.53,7.29,8.94,7.77
127,CEG.O,,,,,,
128,COO,8.06,7.35,9.97,25.49,8.96,9.27
129,CPRT.O,21.809,22.19,20.34,22.07,19.4,16.69
130,GLW,5.95,4.15,5.6,12.15,12.58,6.29
131,CTVA.K,3.75,2.65,1.42,,,
132,CSGP.O,6.32,7.05,10.41,9.75,6.09,6.47
133,COST.O,9.47,8.58,7.7,8.42,8.12,7.71
134,CTRA.K,9.269,4.75,16.09,11.9,4.96,-1.88
135,CCI,2.819,1.65,2.11,1.72,1.41,1.45
136,CSX.O,8.71,7.18,8.65,9.13,5.89,4.89
137,CMI,9.199,8.49,12.0,11.6,10.74,9.25
138,CVS,4.82,4.35,4.41,5.08,6.37,6.7
139,DHI,21.55,19.449,13.75,10.89,17.92,8.75
140,DHR,9.4,6.72,5.91,6.77,6.81,5.4
141,DRI,9.169,5.52,4.91,12.84,11.27,10.04
142,DVA,5.879,5.19,4.56,3.23,3.37,4.24
143,DE,7.49,3.72,4.45,4.52,3.49,2.63
144,DAL,-3.6,-10.01,7.65,6.9,6.83,7.7
145,XRAY.O,6.8,4.39,6.36,4.77,5.61,7.69
146,DVN,15.349,-0.26,2.649,2.59,2.83,-0.14
147,DXCM.O,5.83,9.05,7.89,1.88,-7.68,-18.88
148,FANG.O,9.919,2.34,5.03,4.19,7.69,3.47
149,DLR,4.64,0.89,2.109,1.11,1.03,2.81
150,DFS,4.8,0.97,2.6,2.57,2.31,2.61
151,DISH.O,5.589,4.93,4.389,5.24,3.49,5.69
152,DIS,3.359,2.339,2.08,6.9,11.43,9.58
153,DG,9.189,10.91,9.64,12.36,10.34,11.03
154,DLTR.O,6.259,6.66,6.86,8.73,7.22,5.67
155,D,3.259,3.009,3.79,3.43,3.09,3.6
156,DPZ,31.66,33.32,35.04,41.85,36.3,28.32
157,DOV,11.34,9.25,10.24,7.95,7.75,5.43
158,DOW,10.88,2.02,3.59,,,
159,DTE,1.08,3.18,2.98,3.26,3.04,3.12
160,DUK,2.43,2.35,2.44,2.36,2.36,2.56
161,DD,4.02,3.52,4.06,9.84,5.82,
162,DXC,4.24,2.6,5.23,7.51,10.81,5.44
163,EMN,7.679,5.23,6.169,7.33,7.07,6.46
164,ETN,8.08,5.3,7.47,7.38,6.59,6.27
165,EBAY.O,11.589,13.64,11.81,9.45,8.68,10.36
166,ECL,6.89,5.98,8.32,7.7,7.2,7.01
167,EIX,2.419,2.52,2.629,2.47,2.82,2.55
168,EW,17.84,17.11,20.03,18.28,16.06,14.71
169,EA.O,14.83,13.76,14.13,14.83,16.77,16.64
170,ELV,6.97,6.97,6.79,5.91,4.75,4.65
171,LLY,15.58,16.84,13.39,12.9,10.81,10.05
172,EMR,10.369,10.37,9.06,11.279,10.74,8.26
173,ENPH.O,20.75,19.71,23.589,3.93,-12.34,-31.85
174,ETR,2.06,2.069,,2.82,2.81,2.81
175,EOG,13.58,2.33,8.14,10.09,2.19,-3.16
176,EPAM.K,17.109,14.93,16.219,17.33,17.49,18.12
177,EQT,1.52,-0.28,1.07,1.77,1.23,-0.37
178,EFX,9.15,9.77,9.1,9.76,10.43,11.98
179,EQIX.O,1.819,1.45,2.3,1.88,1.49,1.1
180,EQR,6.419,4.39,4.58,3.2,2.91,19.58
181,ESS,3.77,4.4,3.5,3.13,3.5,3.43
182,EL,12.32,11.95,9.76,15.37,14.04,12.47
183,ETSY.O,15.83,,7.849,10.28,9.85,-5.18
184,RE,,,,,,4.65
185,EVRG.K,2.919,2.66,2.69,2.88,2.91,3.12
186,ES,4.44,2.84,2.76,2.77,2.89,3.01
187,EXC.O,2.109,2.48,2.569,2.56,2.13,2.37
188,EXPE.O,1.28,-6.19,4.77,4.94,3.96,4.47
189,EXPD.O,22.579,16.15,16.85,19.22,15.25,16.04
190,EXR,8.33,5.37,5.129,5.43,,5.56
191,XOM,6.849,-0.41,2.72,6.0,4.5,2.96
192,FFIV.O,12.119,13.869,14.25,20.89,24.09,22.68
193,FDS,16.68,20.07,23.13,26.2,23.71,23.81
194,FAST.O,22.39,22.13,22.21,24.13,19.87,
195,FRT,3.33,1.7,5.27,3.72,4.099,4.83
196,FDX,6.519,6.25,3.9,7.73,8.18,7.05
197,FITB.O,1.28,0.73,1.27,1.21,1.38,1.05
198,FRC,0.85,0.78,0.82,0.85,0.92,0.91
199,FE,3.16,2.99,3.379,3.38,3.2,2.34
200,FIS,4.879,4.08,4.7,7.19,5.87,4.82
201,FISV.O,4.969,3.97,6.25,11.89,11.01,10.41
202,FLT,9.039,8.2,9.08,8.62,7.63,7.43
203,FMC,8.62,8.07,8.1,8.91,4.8,6.09
204,F,2.45,0.62,1.84,2.02,2.87,3.05
205,FTNT.O,13.37,17.7,12.4,11.98,8.4,6.59
206,FTV,6.129,4.49,8.23,9.41,10.91,11.33
207,FBHS.K,10.449,8.62,8.3,8.51,8.96,8.68
208,FOXA.O,7.049,7.67,7.41,10.02,,
209,FOX.L,,,,,,-31.61
210,BEN,,8.63,7.54,8.27,12.04,10.09
211,FCX,10.29,1.9,0.09,5.52,4.57,0.74
212,GRMN.K,14.56,14.95,14.7,13.56,11.65,11.89
213,IT,10.789,6.08,5.32,5.18,6.17,11.94
214,GNRC.K,15.259,13.97,12.48,13.14,10.97,
215,GD,6.429,6.29,7.39,8.35,8.89,9.44
216,GE,1.03,0.04,,1.65,2.45,3.17
217,GIS,7.669,7.49,7.26,6.43,6.95,8.45
218,GM,4.33,3.05,3.04,4.23,4.55,4.62
219,GPC,7.169,5.45,6.099,6.66,6.45,8.08
220,GILD.O,13.48,13.78,13.51,13.03,18.31,28.91
221,GL,2.41,2.68,3.07,,3.76,2.66
222,GPN,5.36,6.85,4.29,6.3,5.27,
223,GS,1.61,0.83,0.82,1.07,0.91,0.82
224,HAL,4.49,2.5,4.22,6.5,4.08,-0.05
225,HIG,2.85,2.88,12.2,,0.45,0.15
226,HAS.O,6.94,5.23,7.43,9.26,13.35,11.54
227,HCA,11.71,8.62,8.67,9.16,7.21,8.17
228,PEAK.K,3.22,2.75,0.33,7.9,2.88,3.53
229,HSIC.O,7.879,5.7,6.69,7.79,7.82,8.18
230,HSY,15.279,15.24,15.38,17.05,18.36,17.45
231,HES,3.439,-4.4,-1.3,-1.0,-5.42,-4.87
232,HPE,4.66,3.339,4.5,4.14,3.34,4.18
233,HLT,3.629,0.18,7.8,6.02,3.22,3.41
234,HOLX.O,16.989,27.109,15.45,9.529,8.13,7.57
235,HD,23.07,21.12,23.609,25.1,20.18,18.61
236,HON.O,8.75,8.2,10.23,10.29,9.67,9.89
237,HRL,8.37,10.08,11.63,13.62,12.69,14.24
238,HST.O,-0.35,-5.81,7.509,9.08,4.88,6.57
239,HWM,4.08,3.09,5.35,3.61,3.19,1.79
240,HPQ,12.61,9.49,10.01,9.79,9.68,4.1
241,HUM,6.73,7.79,11.26,7.66,6.49,5.69
242,HBAN.O,0.85,0.7,1.23,1.33,1.04,0.82
243,HII,5.79,9.17,8.65,13.11,8.74,9.26
244,IBM,,5.05,8.3,10.18,10.65,11.43
245,IEX,10.32,9.64,12.2,,,9.68
246,IDXX.O,31.48,28.19,25.39,23.2,18.13,14.77
247,ITW,17.03,13.75,17.13,16.2,14.66,13.03
248,ILMN.O,7.82,8.91,13.67,13.92,12.39,12.63
249,INCY.O,14.41,-2.589,20.27,9.06,-15.89,7.88
250,IR,5.65,5.79,7.29,8.67,5.58,
251,INTC.O,13.91,15.49,16.47,17.14,14.16,12.33
252,ICE,1.819,2.27,2.34,2.43,2.19,2.07
253,IP,4.41,3.4,5.25,6.16,4.35,4.36
254,IPG,5.459,3.77,4.53,5.11,4.45,4.44
255,IFF,5.16,4.83,5.31,6.5,10.87,11.44
256,INTU.O,15.56,20.089,24.11,31.1,31.69,27.65
257,ISRG.O,14.689,11.7,17.35,19.42,17.08,15.42
258,IVZ,4.16,2.35,3.19,3.2,3.85,3.64
259,INVH.K,5.799,1.12,0.82,-0.03,-0.63,-0.8
260,IQV,7.15,5.24,5.57,5.1,4.73,4.83
261,IRM,3.07,2.46,2.29,2.76,2.98,3.41
262,JBHT.O,11.949,8.86,10.679,13.12,9.72,11.33
263,JKHY.O,15.15,13.07,12.86,12.84,,13.08
264,J,6.12,6.11,5.84,6.22,5.32,4.93
265,JNJ,14.679,12.89,15.009,14.38,13.43,13.67
266,JCI,4.99,4.62,4.06,3.75,5.23,4.27
267,JPM,1.3,0.91,1.33,1.24,0.99,0.91
268,JNPR.K,6.31,5.71,6.57,6.94,8.3,8.87
269,K,7.91,7.82,7.76,8.85,9.0,8.73
270,KDP.O,4.54,4.0,3.509,4.92,8.3,8.78
271,KEY,1.46,0.82,1.15,1.32,1.02,0.91
272,KEYS.K,15.519,13.28,14.49,10.51,9.5,11.47
273,KMB,11.849,16.16,15.98,15.57,14.9,14.82
274,KIM,5.44,8.63,3.08,3.86,3.24,2.95
275,KMI,4.22,9.74,2.82,2.51,1.85,1.8
276,KLAC.O,28.03,23.13,17.88,18.199,22.58,17.82
277,KHC.O,3.74,3.52,3.4,3.83,6.79,3.34
278,KR,5.73,5.84,4.29,4.63,5.04,5.81
279,LHX,7.339,6.65,5.099,,,
280,LH,13.74,12.32,6.53,6.9,6.48,6.47
281,LRCX.O,28.149,26.01,17.89,19.01,26.01,14.76
282,LW,7.28,7.16,9.539,16.42,15.05,14.71
283,LVS,-4.419,-7.339,10.99,12.08,11.71,8.95
284,LDOS.K,7.339,7.68,8.27,7.55,6.32,5.84
285,LEN,14.029,8.31,6.38,6.39,4.75,6.12
286,LNC,0.41,0.25,0.43,0.65,0.65,2.43
287,LIN,6.57,5.0,4.45,3.73,8.5,8.37
288,LYV,-5.219,-15.98,-0.05,-0.22,-1.37,-0.73
289,LKQ.O,9.46,6.18,6.089,6.65,6.6,7.99
290,LMT,12.429,14.07,13.48,11.04,7.86,7.73
291,L,,,,,,
292,LOW,18.48,15.42,12.089,11.699,10.61,10.75
293,LUMN.K,3.459,2.9,2.09,1.734,1.51,2.8
294,LYB,16.9,5.719,11.57,16.15,16.37,16.83
295,MTB,1.189,1.0,1.61,1.64,0.91,0.99
296,MRO,7.099,-4.81,2.94,2.77,-0.81,-2.19
297,MPC,7.33,-2.43,3.419,4.77,4.26,
298,MKTX.O,18.019,26.19,22.64,27.08,28.81,26.09
299,MAR.O,4.18,0.24,8.25,9.24,6.88,8.61
300,MMC,9.39,7.89,9.01,10.59,10.54,9.84
301,MLM,6.16,6.96,6.22,5.07,5.59,5.97
302,MAS,16.37,15.25,12.42,14.13,11.63,9.21
303,MA,23.39,20.58,29.34,29.41,24.53,23.73
304,MTCH.O,15.57,17.53,23.89,21.8,9.3,10.86
