,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,53.7684677638887,86.7036021944441,85.2184094640991,89.6148982162038,84.1429418968636,20.8333333333333
1,AOS,,,,,,,,
2,ABT,True,100.0,48.9674509763118,83.6491876669093,52.7409900130265,91.6054688820402,87.5972429721324,14.2857142857142
3,ABBV.K,,,,,,,,
4,ABMD.O,,,,,,,,
5,ACN,True,100.0,74.2094105345249,74.2094105345249,78.3677398448371,79.8995007876477,68.0621118012422,89.3939393939393
6,ATVI.O,False,,25.0094372631921,25.0094372631921,0.0,16.5676491065212,39.7815860215053,77.2727272727272
7,ADM,True,12.28,52.2246907871033,52.2246907871033,55.8230611196712,48.5687574970369,54.5831237168933,100.0
8,ADBE.O,True,,71.575130668212,71.575130668212,81.0497321820018,65.3917040575851,74.057367573226,89.3939393939393
9,ADP.O,False,,37.1741345614006,37.1741345614006,19.977697718305,51.0015791898849,30.4260994064678,100.0
10,AAP,False,,45.9534868750092,45.9534868750092,16.8068747173224,33.3277211602243,74.7950268817204,100.0
11,AES,False,,32.548130419301,32.548130419301,15.7213305112149,18.7726213180758,79.0618520946399,100.0
12,AFL,True,100.0,57.3462892197052,57.3462892197052,55.0588343179273,72.6123182373182,46.8261847775271,100.0
13,A,True,100.0,78.0933740051297,78.0933740051297,77.2814444926907,89.1654569483574,63.8940319023517,89.2857142857142
14,APD,True,100.0,85.0477285937393,85.0477285937393,83.1498626784457,83.9744777792955,90.2191889241214,100.0
15,AKAM.O,True,100.0,26.1547577066024,26.1547577066024,15.5715674501057,40.1520932807161,17.2764535947313,66.6666666666666
16,ALK,,,,,,,,
17,ALB,True,100.0,59.0200410023518,59.0200410023518,56.2882004534845,66.5394608763585,51.1050534077281,100.0
18,ARE,False,,24.7908929312634,24.7908929312634,12.5569031134669,27.8702413317797,36.1727150537634,100.0
19,ALGN.O,,,,,,,,
20,ALLE.K,,,,,,,,
21,LNT.O,True,100.0,41.5289568877787,41.5289568877787,39.4583039362671,33.4415130324221,55.562743917312,100.0
22,ALL,True,82.45,68.6468808034578,76.5794758926299,89.6515550793466,73.460921388553,77.8187630851474,60.7142857142857
23,GOOGL.O,False,,29.0812510867211,47.5564415673817,63.5529250300223,56.7727154365678,34.8212606967904,10.6060606060606
24,GOOG.O,False,,29.0812510867211,47.5564415673817,63.5529250300223,56.7727154365678,34.8212606967904,10.6060606060606
25,MO,True,100.0,53.9138897221279,86.6739332904097,88.5416666666666,86.8759561388587,84.2703759883732,21.1538461538461
26,AMZN.O,False,,43.2045832911328,43.2045832911328,18.5448422545196,36.2963065661046,71.9119623655914,50.0
27,AMCR.K,True,100.0,65.0077558263825,65.0077558263825,68.5444132772323,56.6308863709418,73.7790209790209,87.5
28,AMD.O,True,100.0,64.9137840309992,64.9137840309992,70.9674272395072,70.5011112769733,48.4303222249324,100.0
29,AEE,False,,38.8515956152541,38.8515956152541,34.5953485245681,39.7926452056363,45.1640026322743,100.0
30,AAL.O,True,100.0,32.7962318583968,51.5924637167937,50.1013171225937,71.1508821367311,24.4383867410614,14.0
31,AEP.O,True,100.0,46.103066836108,68.9918479579303,67.8738020695534,65.2947305220032,75.6987786348761,23.2142857142857
32,AXP,True,,47.1872159911127,47.1872159911127,59.9100877192982,51.7724993223095,46.8331974002479,88.7323943661971
33,AIG,False,,21.2033950816946,33.4782187348179,23.8101374570446,21.5371215042267,57.1599703742098,8.92857142857142
34,AMT,True,100.0,54.234324625483,54.234324625483,32.4394319131161,62.2883872883873,72.0998295119621,100.0
35,AWK,False,100.0,66.5998518290578,66.5998518290578,57.3796791443851,65.5848759535395,83.4977551984877,100.0
36,AMP,False,,34.7660834956867,40.9607384199449,39.438246562993,62.2492128054049,32.1942204301075,28.5714285714285
37,ABC,False,,47.3717148825011,47.3717148825011,0.0,46.4320612277291,70.7157258064516,100.0
38,AME,False,,12.2650799379343,12.2650799379343,2.28758169934641,22.6146185190248,10.6686827956989,100.0
39,AMGN.O,True,93.0,47.7842627866902,47.7842627866902,61.9947613241205,41.6681806747351,46.5033754598857,54.6875
40,APH,False,,25.8944388532819,25.8944388532819,0.0,31.8411680911681,53.1149193548387,100.0
41,ADI.O,True,100.0,75.8332848067882,75.8332848067882,79.3545722182167,83.9515433480951,58.2126133199178,100.0
42,ANSS.O,False,,55.2874219239166,55.2874219239166,31.1774461028192,50.4060824566891,66.7237903225806,100.0
43,AON,True,100.0,29.8001108879815,57.8145074902488,44.9059326614927,64.1634060384061,61.2380952380952,1.78571428571428
44,APA.O,True,100.0,32.4797501494578,32.4797501494578,46.2591309351078,28.7766404588834,18.8738706120291,82.3529411764705
45,AAPL.O,True,100.0,27.7077949889976,52.6378122002174,52.0459459459459,63.5708676814167,33.6337518039717,2.77777777777777
46,AMAT.O,True,100.0,73.0117196467308,73.0117196467308,83.9475032197635,59.6523942213597,81.9316663109539,91.6666666666666
