,Symbol,11/20/2022
0,MMM,12.4166898491895
1,AOS,19.8849347606701
2,ABT,19.8846015422196
3,ABBV.K,11.1731843575419
4,ABMD.O,78.3572170301142
5,ACN,25.2215801650099
6,ATVI.O,24.2850494549793
7,ADM,12.6282902900857
8,ADBE.O,24.269462479012
9,ADP.O,31.5198522622345
10,AAP,11.5929772494699
11,AES,16.9025445479211
12,AFL,13.5479151985302
13,A,29.1556644037239
14,APD,26.0037100544229
15,AKAM.O,17.2705504358939
16,ALK,10.6145187880166
17,ALB,13.1268462441476
18,ARE,51.0261637784574
19,ALGN.O,27.2843757620694
20,ALLE.K,20.685954756799
21,LNT.O,19.8054577906485
22,ALL,64.7262762155072
23,GOOGL.O,20.6581868375354
24,GOOG.O,20.7099839910553
25,MO,9.12845931433292
26,AMZN.O,NaN
27,AMCR.K,15.0452503086695
28,AMD.O,20.9189911569848
29,AEE,21.1435889635274
30,AAL.O,NaN
31,AEP.O,18.2159249650768
32,AXP,15.2763211012575
33,AIG,13.1405236439362
34,AMT,34.0357585893279
35,AWK,32.8854020734099
36,AMP,13.5287643673667
37,ABC,14.1250326968349
38,AME,24.7547974413646
39,AMGN.O,16.2612440256385
40,APH,26.835582817955
41,ADI.O,17.1072700348487
42,ANSS.O,31.6624473450747
43,AON,22.9551433096636
44,APA.O,5.40761944549145
45,AAPL.O,24.2068260401383
46,AMAT.O,15.2579422908773
47,APTV.K,32.0319518942527
48,ACGL.O,14.3685034033944
49,ANET.K,30.9274114386679
50,AJG,24.9894875181155
51,AIZ,11.7235879151811
52,T,7.11419463716482
53,ATO,19.2338877530038
54,ADSK.O,31.7647982557069
55,AZO,19.8571034792617
56,AVB,26.2025708533375
57,AVY,19.2153575851251
58,BKR.O,31.6613227541981
59,BALL.K,18.7977493201213
60,BAC,11.6194058762513
61,BBWI.K,12.3169611933566
62,BAX,15.4218867416638
63,BDX,18.9120241709066
64,WRB,16.817187335165
65,BRKb,21.3385262848538
66,BBY,11.5917080273181
67,BIO,27.5528346297026
68,TECH.O,39.2850951911294
69,BIIB.O,17.7067975535869
70,BLK,21.1270165818099
71,BK,12.7244483026454
72,BA,NaN
73,BKNG.O,19.9011363960386
74,BWA,9.61937180170697
75,BXP,14.0376237623762
76,BSX,24.7858070099524
77,BMY,10.1790835276274
78,AVGO.O,13.760901793704
79,BR,20.7460545193687
80,BRO,25.2696045799494
81,BFb,35.6367795666805
82,CHRW.O,12.1768903716153
83,CDNS.O,39.0508712021714
84,CZR.O,NaN
85,CPT,19.354403708386
86,CPB,17.765037056434
87,COF,5.2212818943503
88,CAH,14.5517760734932
89,KMX,16.6006978478452
90,CCL,NaN
91,CARR.K,18.7723594958134
92,CTLT.K,13.2698616283945
93,CAT,16.6610033317687
94,CBOE.K,17.7290322204114
95,CBRE.K,13.4584450402145
96,CDW.O,18.9672263497287
97,CE,6.27478642915498
98,CNC,14.40543601359
99,CNP,21.4279523919575
100,CDAY.K,94.8051759443484
101,CF,6.19589141599413
102,CRL,22.2308928161579
103,SCHW.K,20.348222048284
104,CHTR.O,11.7536696075433
105,CVX,9.53608328009164
106,CMG,44.9792868001324
107,CB,13.5758123909813
108,CHD,25.8721963605586
109,CI,13.7803459224707
110,CINF.O,24.654557032409
111,CTAS.O,35.7628606468464
112,CSCO.O,13.4745734038594
113,C,6.83354983674472
114,CFG,9.65176268271711
115,CLX,35.0412741760681
116,CME.O,21.6169205976045
117,CMS,20.7738249805245
118,KO,24.6521323650967
119,CTSH.O,13.5207342725926
120,CL,25.7234943042276
121,CMCSA.O,9.52662346089804
122,CMA,8.24409114497335
123,CAG,14.6941011052253
124,COP,8.80294586178026
125,ED,20.6912418948426
126,STZ,22.5708843339014
127,CEG.O,47.420584498094
128,COO,24.0152497617225
129,CPRT.O,27.9452720347733
130,GLW,16.3707943868802
131,CTVA.K,25.307415227922
132,CSGP.O,64.5712961409061
133,COST.O,35.995543088178
134,CTRA.K,5.31289135137187
135,CCI,35.098145100238
136,CSX.O,16.2738732661579
137,CMI,16.1154601156687
138,CVS,11.2843398632201
139,DHI,8.11981288215946
140,DHR,24.7040302684792
141,DRI,19.1623722584485
142,DVA,10.6347268613783
143,DE,18.0372937354083
144,DAL,11.969705914014
145,XRAY.O,15.896197270123
146,DVN,7.73473051763368
147,DXCM.O,142.584883895882
148,FANG.O,6.14919775445248
149,DLR,79.223117142058
150,DFS,6.94672472227026
151,DISH.O,5.75151057401813
152,DIS,22.0750021040988
153,DG,22.2724848815894
154,DLTR.O,22.3004582678649
155,D,14.37433030345
156,DPZ,30.2832245802091
157,DOV,16.5233349011171
158,DOW,7.75328240870498
159,DTE,19.0359124281585
160,DUK,18.303360375182
161,DD,20.9938331749768
162,DXC,8.11808958657824
163,EMN,10.2196775797863
164,ETN,21.823977145729
165,EBAY.O,11.102901143346
166,ECL,33.178391819088
167,EIX,13.4861413073166
168,EW,30.5323633286135
169,EA.O,18.2127735836376
170,ELV,17.0605039620241
171,LLY,46.4664217887395
172,EMR,22.5434388247578
173,ENPH.O,70.2819252840544
174,ETR,17.9285421365594
175,EOG,9.80713287754019
176,EPAM.K,32.0613396355565
177,EQT,10.4847303178128
178,EFX,26.5862006223546
179,EQIX.O,81.4291769541631
180,EQR,38.011307352195
181,ESS,44.3352540597171
182,EL,43.8714187459832
183,ETSY.O,NaN
184,RE,13.478109789785
185,EVRG.K,16.4500901739811
186,ES,19.394756962876
187,EXC.O,17.0599264185652
188,EXPE.O,13.7037284846863
189,EXPD.O,12.6282194848824
190,EXR,25.9529682456063
