,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
51,AIZ,5464.1,5951.4,5652.8,5112.0,4270.6,4098.1,4523.967,5181.307,4833.479,5185.366,4873.95
52,T,166332.0,161673.0,184221.0,184089.0,140861.0,123135.0,122671.0,89716.0,90988.0,92362.0,105534.0
53,ATO,7906.889,6791.203,5750.223,4769.951,3898.666,3463.059,3194.797,3086.232,2580.409,2359.243,2255.421
54,ADSK.O,849.1,965.5,-139.1,-210.9,-256.0,733.6,1619.6,2219.2,2261.5,2043.2,1882.9
55,AZO,-3538.913,-1797.536,-877.977,-1713.851,-1520.355,-1428.377,-1787.538,-1701.39,-1621.857,-1687.319,-1548.025
56,AVB,10932.527,10751.583,10989.549,10632.606,10388.046,10171.416,9840.526,9046.405,8596.132,6837.215,4394.741
57,AVY,1924.4,1484.9,1204.0,955.1,1046.2,925.5,965.7,1047.7,1492.2,1580.9,1658.5
58,BKR.O,16607.0,18109.0,34383.0,34903.0,39033.0,12656.0,16298.0,18625.0,17713.0,17069.0,15746.0
59,BALL.K,3627.0,3275.0,2949.0,3458.0,3941.0,3435.0,1251.0,1033.1,1224.6,1114.6,1219.1
60,BAC,270066.0,272924.0,264810.0,265325.0,267146.0,266195.0,256176.0,243471.0,232685.0,236956.0,230101.0
61,BBWI.K,-1518.0,-662.0,-1499.0,-869.0,-753.0,-729.0,-259.0,18.0,-370.0,-1015.0,137.0
62,BAX,9077.0,8689.0,7882.0,7844.0,9124.0,8290.0,8846.0,8120.0,8463.0,6938.0,6585.0
63,BDX,23677.0,23765.0,21081.0,20994.0,12948.0,7633.0,7164.0,5053.0,5042.0,4135.889,4828.175
64,WRB,6653.011,6310.802,6074.939,5437.851,5411.344,5047.208,4600.246,4589.945,4336.035,4306.217,3953.356
65,BRKb,506199.0,443164.0,424791.0,348703.0,348296.0,282070.0,255550.0,240170.0,221890.0,187647.0,164850.0
66,BBY,3020.0,4587.0,3479.0,3306.0,3612.0,4709.0,4378.0,4995.0,3986.0,3061.0,3745.0
67,BIO,13667.134,9879.94,5755.057,4020.331,2930.25,2586.759,2490.503,2185.155,2186.722,2015.005,1743.937
68,TECH.O,1701.77,1562.971,1381.192,1165.589,1079.061,949.627,879.28,846.935,795.265,737.541,674.442
69,BIIB.O,10896.2,10700.3,13343.2,13039.6,12612.8,12140.1,9372.8,10809.0,8620.242,6961.523,6425.499
70,BLK,37693.0,35283.0,33547.0,32374.0,31798.0,29098.0,28503.0,27366.0,26460.0,25403.0,25048.0
71,BK,43034.0,45801.0,41483.0,40638.0,41251.0,38811.0,38037.0,37441.0,37497.0,36431.0,33417.0
72,BA,-14999.0,-18316.0,-8617.0,339.0,1656.0,817.0,6335.0,8665.0,14875.0,5867.0,3515.0
73,BKNG.O,6178.0,4893.0,5933.0,8785.0,11260.598,9820.142,8795.469,8566.694,6909.729,3896.975,2574.295
74,BWA,6948.0,6428.0,4706.0,4225.5,3716.8,3218.3,3553.7,3616.2,3560.6,3082.6,2387.9
75,BXP,5834.02,5996.083,5684.687,5883.171,5813.957,5786.295,5709.435,5697.298,5741.153,5097.065,4865.998
76,BSX,16622.0,15326.0,13877.0,8726.0,7012.0,6733.0,6320.0,6457.0,6539.0,6870.0,11353.0
77,BMY,35946.0,37822.0,51598.0,14031.0,11741.0,16177.0,14266.0,14852.0,15154.0,13623.0,15956.0
78,AVGO.O,24962.0,23874.0,24941.0,26657.0,20285.0,18892.0,4714.0,3243.0,2886.0,2419.0,2006.0
79,BR,1919.1,1809.1,1346.5,1127.5,1094.3,1003.8,1045.5,927.8,961.7,816.0,850.5
80,BRO,4196.893,3754.223,3350.279,3000.568,2582.699,2360.211,2149.776,2113.745,2007.141,1807.333,1643.963
81,BFb,2737.0,2656.0,1975.0,1647.0,1316.0,1370.0,1562.0,1905.0,2032.0,1628.0,2069.0
82,CHRW.O,2021.934,1879.933,1670.73,1595.087,1425.745,1257.847,1150.45,1047.015,939.724,1504.372,1248.474
83,CDNS.O,2740.675,2493.018,2102.894,1288.401,989.202,741.77,1376.115,1333.574,1156.105,915.171,411.13
84,CZR.O,4480.0,5016.0,1117.257,1029.153,941.598,298.451,270.667,151.519,75.575,,
85,CPT,4197.49,3444.905,3628.685,3311.423,3405.363,3014.873,2816.557,2815.602,2691.536,2563.099,1758.717
86,CPB,3331.0,3152.0,2563.0,1103.0,1364.0,1637.0,1525.0,1381.0,1615.0,1217,898
87,COF,61029.0,60204.0,58011.0,51668.0,48730.0,47514.0,47284.0,45053.0,41632.0,40499,29666
88,CAH,-709.0,1791.0,1789.0,6328.0,6059.0,6808.0,6554.0,6256.0,6401.0,5975,6244
89,KMX,5235.439,4364.613,3768.875,3357.028,3316.849,3108.58,2904.786,3156.785,3316.997,3019.167,2673.112
