,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,86.5140768249315,86.5140768249315,83.3760997067448,95.6302184117883,76.2773905707777,100.0
1,AOS,False,,26.670416049582,26.670416049582,6.21727748691099,27.7008616911196,49.8631535947712,100.0
2,ABT,True,100.0,70.5885964926449,80.0660818741787,55.7240038872692,82.8518233635198,87.7578253071044,61.1111111111111
3,ABBV.K,True,100.0,67.8629167871408,67.8629167871408,60.5977318364366,80.5049265528566,54.2979378233378,100.0
4,ABMD.O,,,,,,,,
5,ACN,True,100.0,86.8493126422653,86.8493126422653,80.301724137931,89.9716454344726,86.1249137336094,100.0
6,ATVI.O,False,,57.4548518348323,57.4548518348323,10.4166666666666,51.0171480773231,77.1098856209151,91.3043478260869
7,ADM,True,100.0,51.5739294596784,51.5739294596784,51.6337250712251,43.8739669496264,64.8119784015669,100.0
8,ADBE.O,True,100.0,75.0652024433826,75.0652024433826,79.8515325670498,71.0858947721935,77.0559294564731,91.3043478260869
9,ADP.O,True,100.0,55.5473162244779,55.5473162244779,25.7088122605364,53.8386181989519,65.9702462689744,100.0
10,AAP,False,,30.0158484250235,30.0158484250235,14.13010130299,38.9856835065774,27.9922385620915,100.0
11,AES,True,100.0,59.2166090091745,59.2166090091745,44.1865182482897,48.6883153253486,98.4545450916523,100.0
12,AFL,True,100.0,52.967243494228,52.967243494228,51.7149607238146,59.3466558227799,52.5502105022247,100.0
13,A,True,100.0,78.0949408888,78.0949408888,71.7055393586005,87.6365489962992,68.5135442613527,100.0
14,APD,True,100.0,79.3973612024148,79.3973612024148,76.4850041314143,76.9983606557377,88.6074985097187,100.0
15,AKAM.O,True,75.0,58.0587241977241,58.0587241977241,67.5622605363984,44.0422141799143,67.2774358114581,100.0
16,ALK,True,100.0,55.9384736496321,55.9384736496321,33.7264150943396,51.1796276470015,87.3778168976602,100.0
17,ALB,True,100.0,67.9956078491646,67.9956078491646,61.2393255311657,67.2970411835266,81.1153890166273,100.0
18,ARE,False,,40.3225543008568,40.3225543008568,10.8310204081632,51.0310618391578,64.6752450980392,100.0
19,ALGN.O,False,,16.0411498654755,16.0411498654755,1.19047619047619,15.3893580055237,23.8296568627451,100.0
20,ALLE.K,False,,32.0655962784294,32.0655962784294,3.43137254901961,46.3091653423295,34.2063492063492,100.0
21,LNT.O,True,100.0,47.8921503424023,47.8921503424023,43.7480482700313,38.424740952046,67.2447560728961,100.0
22,ALL,True,78.714,77.0443090953872,77.0443090953872,90.3726244242722,74.8098170370739,76.2338530689148,100.0
23,GOOGL.O,True,100.0,32.1669293794941,62.1599457155099,74.8994252873563,51.1099032333252,67.853416203615,2.17391304347826
24,GOOG.O,True,100.0,32.1669293794941,62.1599457155099,74.8994252873563,51.1099032333252,67.853416203615,2.17391304347826
25,MO,True,100.0,78.4825245766144,83.2808386269131,90.3633692696192,82.0439599840655,77.627106352856,73.6842105263157
26,AMZN.O,False,,39.4546025244258,50.337776477423,15.3640109890109,51.002025868786,79.9693627450981,28.5714285714285
27,AMCR.K,True,100.0,71.3149726460322,71.3149726460322,69.3600981767181,77.1986626402071,64.3428610088511,100.0
28,AMD.O,True,24.655,54.3492904887822,80.1271524061359,66.6649858081022,88.3320118958416,82.7437341657618,28.5714285714285
29,AEE,True,100.0,45.4043698683029,45.4043698683029,45.5928896811249,32.1886640491291,64.0075458793723,100.0
30,AAL.O,True,70.839,57.6908292587002,70.3816585174004,58.4691252144082,78.3926113374396,71.6915423878563,45.0
31,AEP.O,True,100.0,62.7474251016705,62.7474251016705,51.8624164225076,66.6940837517342,76.1212836111643,100.0
32,AXP,False,,39.8479357823965,51.4350019995758,58.5158572362447,45.7005767104146,70.6313802665474,28.2608695652173
33,AIG,True,100.0,56.8155907490698,63.6311814981397,65.4694957444588,58.2809916623789,77.0078279683209,50.0
34,AMT,True,68.0,57.3676734662202,57.3676734662202,48.7428571428571,64.6061557525856,60.6338285857231,100.0
35,AWK,False,,68.8792798240438,68.8792798240438,68.4766214177979,69.1332860687699,69.2575804751868,100.0
36,AMP,False,,61.8074096886269,61.8074096886269,21.7839220227755,67.5767378322708,74.3035130718954,100.0
37,ABC,False,,49.0435835547375,49.0435835547375,5.46647230320699,42.3751126052917,78.1597222222222,61.1111111111111
38,AME,False,,33.3808554627161,33.3808554627161,21.7469834299761,26.5784491367273,56.2602124183006,100.0
39,AMGN.O,True,94.0,68.7868635386203,68.7868635386203,70.5329271631982,65.0542351141477,73.0846226927253,100.0
40,APH,False,,22.9759490002897,22.9759490002897,0.0,29.9061085972851,45.3370098039215,100.0
41,ADI.O,True,100.0,74.5674378586484,74.5674378586484,88.0943084311865,63.9444444444444,75.8631323050392,100.0
42,ANSS.O,False,,55.8111473895431,55.8111473895431,26.6666666666666,53.7876158205117,66.296977124183,100.0
43,AON,False,100.0,47.6720220229357,47.6720220229357,41.847501080654,39.1628630074081,66.1490683229814,100.0
44,APA.O,True,100.0,36.5152885842904,36.5152885842904,47.1094815553021,38.3916775568302,17.6309118924442,100.0
45,AAPL.O,True,100.0,29.8851118274798,54.2146680994041,51.7876479817429,43.0101860666764,76.2185111558195,5.55555555555555
46,AMAT.O,True,100.0,64.6695954787321,64.6695954787321,72.2776678405419,52.1355446355446,76.2210925358199,100.0
47,APTV.K,True,100.0,46.6065309679697,46.6065309679697,43.0370733866389,56.7179538834112,34.3581780538302,100.0
48,ACGL.O,False,,28.7463881019127,28.7463881019127,19.8245614035087,30.7752272513513,35.9615384615384,100.0
49,ANET.K,False,,24.8480761033511,24.8480761033511,25.6862745098039,18.9534716220109,30.2022058823529,100.0
50,AJG,True,100.0,51.9520280478531,51.9520280478531,47.9671033999612,47.9652021886947,68.0717823231355,100.0
51,AIZ,False,,53.251028509793,53.251028509793,30.9460567306115,48.2689615871909,73.1066176470588,100.0
52,T,True,95.527,40.6333167921802,64.5999669176938,79.7238644017062,62.9002422689911,56.4138710587383,16.6666666666666
53,ATO,False,,23.1453225924567,23.1453225924567,4.22049956933677,34.1982234689107,33.3231209150326,100.0
54,ADSK.O,True,100.0,80.6841539985647,80.6841539985647,74.669540229885,71.0564923396182,90.7790245577058,100.0
55,AZO,False,,58.2512767457101,58.2512767457101,33.4835487898191,64.9975357499412,63.1392973856209,72.9166666666666
56,AVB,True,100.0,80.6885786874728,80.6885786874728,74.632925170068,86.9745479544394,81.8516810904601,100.0
57,AVY,False,,65.0119684304765,65.0119684304765,77.4602310474643,58.6710526315789,56.6689619658938,100.0
58,BKR.O,True,100.0,80.5955619847921,80.5955619847921,85.2939710334076,83.0509868421052,71.6219249643397,83.3333333333333
59,BALL.K,True,100.0,64.1655811602526,78.3311623205053,79.1141027533771,80.0649266609145,74.1928863021864,50.0
