,Instrument,2021,2020,2019,2018,2017,2016
75,BXP,79.38172706,74.49459122,65.72740204,66.32757895,69.34590305,63.2773508
76,BSX,79.57218258,81.58148091,84.24849114,77.93595416,77.42913573,71.76641265
77,BMY,,81.37608255,79.89529904,77.88282645,76.40278927,75.74321021
78,AVGO.O,75.65213583,66.42787449,47.79809319,36.0882142,31.28706782,38.49106065
79,BR,77.25872036,74.01549475,45.37210191,42.7434088,43.78838591,36.66926672
80,BRO,36.2156032,31.83308371,31.84651819,45.73913549,41.54023972,38.59818919
81,BFb,61.72961862,61.06672124,55.2181681,58.42904323,59.40664046,54.97998226
82,CHRW.O,48.28975801,42.19476432,44.71019924,42.22316128,39.81425498,33.6562576
83,CDNS.O,,85.51343128,72.97277029,45.82620731,45.39966478,36.28840748
84,CZR.O,,65.41376508,20.02238912,20.69994885,19.19343961,12.20781203
85,CPT,,65.95709439,51.32983494,45.53021335,49.18796557,51.57488706
86,CPB,78.7128467,78.35734507,83.24546671,87.73983447,91.80340581,87.80045736
87,COF,,63.6931938,79.73330178,77.53378964,68.09606088,69.64161612
88,CAH,78.20182819,76.11268885,75.1692113,37.63473744,47.50314648,46.72078369
89,KMX,57.0158278,46.23695241,47.40076402,48.56015291,44.28336713,55.95739282
90,CCL,65.75371581,79.11157718,81.64819454,77.87246449,75.66424774,78.77843382
91,CARR.K,60.333864,56.61116048,,,,
92,CTLT.K,57.18259964,55.68008046,44.83614316,42.06225406,33.56112479,29.29522846
93,CAT,80.70996499,74.48894427,68.77360048,69.45173554,64.94704003,73.05436219
94,CBOE.K,62.53505304,53.06815804,48.55840045,47.54508241,46.303449,47.92125195
95,CBRE.K,85.29209145,86.16065089,89.88966637,91.91220223,89.02311101,88.76690514
96,CDW.O,61.1197937,75.28219738,58.04446567,44.53764363,53.43311278,54.91188535
97,CE,,61.28767045,47.88752814,38.75016251,42.16795411,46.3709167
98,CNC,73.02102226,62.40846448,45.45041949,38.31248157,34.36664552,40.10123988
99,CNP,45.49237823,31.66538615,41.9291744,41.06560958,44.03077675,35.26887129
100,CDAY.K,58.81599375,50.67854316,28.05012193,27.22353383,12.00958058,
101,CF,64.77609261,69.91511466,66.76339556,59.62296034,56.73871674,46.34420677
102,CRL,74.35904497,70.28988363,72.2433108,65.06418287,60.53713423,43.94971758
103,SCHW.K,48.43371502,50.87899428,47.97264626,52.35739943,45.64286696,50.42791569
104,CHTR.O,,35.61283755,22.87156895,17.59276394,19.30125052,15.30726636
105,CVX,86.6875538,83.88004036,78.70988692,84.59663139,87.9408182,76.83046065
106,CMG,62.91667578,57.89065745,54.04738429,42.4218844,46.55019769,37.36888018
107,CB,,60.15616024,50.86715245,51.85731724,49.39217163,49.13674212
108,CHD,,69.21673199,60.25011112,56.8840417,57.83704732,55.1603012
109,CI,79.97321822,76.05553742,71.37905662,66.56813443,64.73402266,75.61724029
110,CINF.O,,54.48382618,51.47623999,50.21097814,51.89751308,49.57342863
111,CTAS.O,67.99515521,66.98035344,59.79408916,56.38115623,65.09736527,64.5152511
112,CSCO.O,87.36533747,89.35903185,87.90781977,88.33379465,87.65145383,86.66508978
113,C,80.81323374,84.1116676,82.03342856,81.95441704,85.03504744,83.03016686
114,CFG,64.47219575,64.25429959,64.17448422,63.95102665,57.23687546,45.29469533
115,CLX,69.9653463,71.90897429,68.62035918,65.95992206,63.25896807,67.68785422
116,CME.O,50.8465929,51.5546562,45.42123501,46.81074486,46.04547307,44.77343391
117,CMS,,50.71948343,54.48736483,56.53441045,51.78382081,56.485196
118,KO,79.58166213,78.04444614,67.30547114,67.32650208,70.96664158,77.38018546
119,CTSH.O,80.58251455,62.43466199,56.54919945,68.3802844,71.09967158,74.20548006
120,CL,,90.17002,84.30462165,87.74101577,90.33753342,87.64540745
121,CMCSA.O,,78.46561779,69.92711083,72.13573026,66.64996896,60.23060567
122,CMA,70.82523011,71.04007838,70.8193434,70.24475449,71.57662265,70.2645224
123,CAG,76.79079459,72.9652405,70.62461272,70.11782914,70.73681696,71.86542775
124,COP,69.33174781,67.84243614,63.81746185,63.40418508,67.05368499,75.31956572
125,ED,,60.16652736,55.81823136,50.84767549,64.85235325,67.99883252
126,STZ,44.13996109,35.6919811,36.62469731,42.4579331,33.76971317,36.96300452
127,CEG.O,,,,,,
128,COO,65.33908975,58.97081616,62.37470407,43.27242781,48.84170892,45.82989179
129,CPRT.O,39.32735228,30.06018836,37.98782214,35.57333983,31.95409898,37.63530851
130,GLW,68.13792488,61.3822184,57.97811894,58.83729773,59.26404515,61.23091044
131,CTVA.K,63.61745139,62.32901867,42.16806078,,,
132,CSGP.O,58.49750916,53.65464217,56.71290992,53.53705674,53.77173008,45.8959383
133,COST.O,74.77411385,67.36199216,66.79019762,66.43875708,63.21284193,56.7094271
134,CTRA.K,,31.98021961,27.99496862,32.85580842,33.13658015,32.09327192
135,CCI,62.38978463,67.73618242,64.75674789,60.73504324,37.56104013,33.82833598
136,CSX.O,59.00814981,54.04656798,55.08869461,56.81045889,53.86492956,68.31203978
137,CMI,,69.30417604,69.12568734,70.62453792,71.00870394,76.60785423
138,CVS,88.44768241,87.64716024,81.56541777,81.73600098,86.41735796,81.17032058
139,DHI,,42.98718681,37.33105583,37.1659757,37.92402023,37.27259696
140,DHR,,81.33727439,68.7134194,72.10285641,60.81858329,60.03049107
141,DRI,50.51086382,58.0025212,56.63178723,55.25502161,59.94850606,54.95102771
142,DVA,,63.66547169,57.22247881,59.13883868,60.35249255,58.76449666
143,DE,72.33594793,71.61999779,69.40246188,67.92321618,64.97278393,61.10151728
144,DAL,,69.53245807,66.82210976,71.55031108,73.97800813,71.43285451
145,XRAY.O,,65.74898011,39.98880451,41.74432532,36.91799797,32.48807731
146,DVN,,60.17024196,56.35998831,63.44971747,61.94439979,59.34022686
147,DXCM.O,47.63277909,44.46491217,40.11579519,20.33651288,22.24722992,22.20953134
148,FANG.O,,57.30484433,48.22446074,34.03554782,28.99129855,19.77931805
149,DLR,75.63817967,71.23768481,73.65734517,49.3919278,41.71688186,43.70796292
150,DFS,62.37655046,60.32629048,61.81708863,50.72446437,51.54284595,52.00449569
151,DISH.O,38.28826783,19.58746556,22.75623572,21.81535823,19.17465924,17.94907723
152,DIS,69.6496974,71.03806558,75.61517306,73.11136987,63.72466125,64.88319635
153,DG,42.8028778,45.53826312,44.59727006,45.23312246,46.34500529,42.39752009
154,DLTR.O,63.39805325,57.33053897,46.54929143,51.81607368,51.03244401,51.69823925
155,D,,78.62933432,81.54872977,80.09849439,81.01297877,81.2580043
156,DPZ,,58.50102137,46.19550122,28.10187096,33.49685142,35.37424847
157,DOV,,65.15562101,58.26133272,59.66929472,62.13994446,63.43649366
158,DOW,86.67462083,78.91832912,76.00577949,,,
159,DTE,,82.6692326,77.93096011,80.23637507,64.94995964,62.71055071
160,DUK,69.45163683,69.80833589,69.97168463,64.75207342,69.67108101,75.56725559
