Instrument,ROA,EScore,SScore,GScore,Firm Size,Total Debt,Total Equity,Board Size,Board Diversity,Leverage Ratio,EScore * Board Diversity,SScore * Board Diversity,GScore * Board Diversity,Year
0,14.93988,48.9882414511454,50.0993762266199,53.2268518518518,23.03781902571631,2785100000,6022700000,7,42.8571428571428,0.46243379215302105,2099.4960621919427,2147.116123997993,2281.1507936507883,2021
1,0.64978,69.0240971605664,91.3076128798685,93.8988095238095,27.713272766705263,149186000000,65907000000,8,37.5,2.263583534374194,2588.40364352124,3424.035482995069,3521.2053571428564,2021
2,0.6025,83.1553114038528,81.0087282305638,64.8644179894179,27.645119268307752,228975000000,70452000000,12,33.3333333333333,3.2500851643672286,2771.8437134617575,2700.290941018791,2162.147266313928,2021
3,2.49129,62.5232423248839,71.748851233584,88.6092863332681,23.90215265359825,3390000000,9997000000,10,40.0,0.33910173051915576,2500.929692995356,2869.95404934336,3544.371453330724,2021
4,9.14688,80.1760203547558,72.3049334861499,87.4032186948853,22.794133225406107,2875500000,2451100000,11,36.3636363636363,1.1731467504385786,2915.4916492638426,2629.270308587265,3178.2988616321873,2021
5,25.1647,80.6456607741547,88.8354780401152,97.5266754850088,25.278888572095887,16428000000,44957000000,12,33.3333333333333,0.36541584180439085,2688.188692471821,2961.1826013371706,3250.889182833623,2021
6,6.4776,58.8155416185864,75.1939209686491,82.9045414462081,22.90410128769158,2263600000,3074700000,8,37.5,0.7362019058769961,2205.5828106969902,2819.772036324341,3108.9203042328036,2021
7,11.2139,42.2197860548858,93.7098754320072,84.7687734697491,24.067751763691124,9657800000,14577500000,9,44.4444444444444,0.6625141485165494,1876.4349357727003,4164.883352533649,3767.5010430999564,2021
8,13.57064,42.1834118262689,71.72130493418,69.4667766192379,21.625498211569525,253900000,1685700000,9,33.3333333333333,0.1506199205078009,1406.1137275422952,2390.710164472664,2315.559220641261,2021
9,0.87063,93.3560258485508,93.0354195017086,86.2837301587301,27.825979161597633,182665000000,72833000000,10,40.0,2.5079977482734477,3734.241033942032,3721.416780068344,3451.349206349204,2021
10,7.15511,22.1612904752439,66.0810883819332,78.5589690548738,22.530465326549262,2605199000,2193035000,8,37.5,1.1879422809029496,831.0483928216462,2478.040814322495,2945.9613395577676,2021
11,26.30488,78.2934471384476,90.6201742541338,68.6294091710758,25.35698460633892,13533000000,51432000000,11,36.3636363636363,0.26312412505832944,2847.03444139809,3295.2790637866783,2495.614878948207,2021
12,4.3135,87.9990369414963,77.9983110073115,81.5310846560846,23.566994291184745,5193400000,11673300000,7,42.8571428571428,0.4448956164923372,3771.3872974926935,3342.7847574562024,3494.1893424036207,2021
13,5.34343,50.6415640421511,55.7314220849502,53.5831128747795,22.84765684340974,2407000000,3685800000,8,37.5,0.6530468283683325,1899.0586515806663,2089.9283281856324,2009.3667328042313,2021
14,1.54143,68.0913752072083,59.7592532757904,61.7989358827421,23.562402778277328,2765000000,6943000000,9,33.3333333333333,0.398242834509578,2269.712506906941,1991.9751091930113,2059.964529424735,2021
15,0.81483,83.4034946742345,82.0244035668662,61.0800044726469,25.390264625557435,25374000000,12753000000,10,30.0,1.9896494942366503,2502.104840227035,2460.732107005986,1832.400134179407,2021
16,0.78413,84.1511245528626,88.8732273368707,89.8617724867724,27.68468130700485,237846000000,59032000000,9,33.3333333333333,4.029102859466052,2805.037485095417,2962.4409112290205,2995.3924162257435,2021
17,7.3903,56.7575152333563,70.0136593807253,79.5712081128747,23.577376940832824,1890000000,11665000000,8,25.0,0.16202314616373767,1418.9378808339075,1750.3414845181326,1989.2802028218675,2021
18,-7.37883,68.2872656197658,63.9672072770459,83.6179453262786,23.70149583536426,7232000000,-197000000,10,40.0,-36.71065989847716,2731.490624790632,2558.688291081836,3344.717813051144,2021
19,1.8795,96.0924305819703,88.836477561847,90.4534832451499,24.62125076807063,3622000000,8881000000,10,30.0,0.4078369552978268,2882.772917459109,2665.09432685541,2713.6044973544967,2021
20,7.0084,9.93356749263155,32.5021512096592,19.3441358024691,22.611482403774634,1902928000,3320869000,6,16.6666666666666,0.5730210977909698,165.55945821052518,541.7025201609846,322.4022633744837,2021
21,6.31257,51.8280272694178,41.2442261755372,40.0818181818181,24.124763173617566,8049000000,13610000000,10,30.0,0.5914033798677443,1554.840818082534,1237.326785266116,1202.454545454543,2021
22,13.76,80.8032036613272,78.9226817136505,66.3194444444444,23.25314688806813,3012737000,7273140000,9,33.3333333333333,0.4142278300706435,2693.4401220442373,2630.756057121681,2210.6481481481446,2021
23,11.0,5.10078441680616,31.3712121212121,82.6144951033833,23.014621414279148,547905000,8448387000,9,33.3333333333333,0.06485320807391991,170.02614722687184,1045.7070707070689,2753.8165034461076,2021
24,4.82463,85.6323272442788,93.9446351562213,78.2803138307289,23.739486776927716,4512000000,10361000000,9,33.3333333333333,0.4354792008493389,2854.4109081426236,3131.487838540707,2609.3437943576273,2021
25,1.277,89.8319153964314,72.6622652994335,86.5927282214705,24.385929644241937,17774000000,14421000000,11,27.2727272727272,1.2325081478399555,2449.961328993577,1981.6981445299991,2361.6198605855525,2021
26,10.06014,72.2848297452347,90.4195135201091,84.7268424044204,24.029089703465267,12081000000,7981000000,10,40.0,1.5137200852023556,2891.393189809388,3616.780540804364,3389.0736961768157,2021
27,7.25371,57.9527994598746,81.3351769768162,69.4479717813051,23.999428956237992,6797000000,13443000000,11,36.3636363636363,0.5056163058841032,2107.374525813618,2957.6427991569476,2525.3807920474537,2021
28,7.84375,67.9724182336411,89.7982631892961,86.1962932938249,24.228012094237126,16763000000,5980000000,9,55.5555555555555,2.8031772575250837,3776.2454574245016,4988.7923994053335,4788.682960768045,2021
29,4.66667,76.0441222440301,91.0367465978151,84.8571428571428,24.708502128701962,10853000000,15505000000,15,40.0,0.6999677523379555,3041.7648897612044,3641.4698639126036,3394.285714285712,2021
30,7.4435,89.3132060733799,81.24974718533,63.3412698412698,23.563020796726015,3390908000,5461640000,14,50.0,0.6208589361437225,4465.660303668995,4062.4873592665,3167.06349206349,2021
31,7.8444,69.8660536103909,70.8146334937202,59.5873015873015,23.55793106768136,4292900000,6914700000,12,33.3333333333333,0.6208367680448899,2328.8684536796945,2360.487783124004,1986.2433862433816,2021
32,0.6475,79.6777838159512,77.2718778331556,79.3015873015873,26.451507400993606,34304200000,17997400000,18,38.8888888888888,1.906064209274673,3098.580481731429,3005.0174712893777,3083.9506172839438,2021
33,8.6745,87.1102539333801,74.9677053683594,62.8464304057524,22.92550459999371,2154884000,3112882000,10,30.0,0.6922472486910843,2613.3076180014027,2249.031161050782,1885.392912172572,2021
34,15.9,78.2600476028561,75.0390056109871,72.8311965811965,22.077837305870354,211500000,2978400000,11,36.3636363636363,0.0710112812248187,2845.819912831126,2728.6911131267993,2648.407148407141,2021
35,0.803,90.2057067506926,77.4986300897364,32.6495726495726,26.553228584163698,23383000000,23077000000,17,35.2941176470588,1.0132599558001474,3183.7308264950307,2735.245767873047,1152.3378582202085,2021
37,5.9732,87.0116865978791,75.9932178476309,86.8803418803418,23.721445114143453,3346000000,8739000000,15,53.3333333333333,0.3828813365373612,4640.623285220216,4052.971618540312,4633.618233618226,2021
38,7.85325,76.3964823055731,88.5752286449451,83.3805855161787,23.377211779055422,2123000000,8386000000,13,30.7692307692307,0.2531600286191271,2350.6609940176286,2725.3916506136893,2565.556477420877,2021
39,1.33667,84.6889476881927,81.002480528179,61.7958294428882,28.289852682721623,788568952000,141995018000,8,37.5,5.553497320589093,3175.835538307226,3037.5930198067126,2317.3436041083073,2021
40,1.776,87.0481201468827,89.8493633866604,65.2318705259881,28.134015496196948,303571881000,147121011000,10,10.0,2.063416224076927,870.481201468827,898.493633866604,652.318705259881,2021
42,7.034,36.6258677383997,72.3112371499469,56.8471833177715,24.696675244550878,17723836000,24931859000,10,10.0,0.7108910731446059,366.258677383997,723.1123714994691,568.471833177715,2021
43,6.7,86.4913517606757,74.9469692705542,44.5819390819391,24.67539009081975,11607986000,19456411000,10,0.0,0.5966149666554639,0.0,0.0,0.0,2021
44,22.95,92.6819366889163,87.7228752544129,94.6156240273887,26.93612841283014,76909000000,192403000000,13,7.69230769230769,0.3997286944590261,712.9379745301251,674.7913481108683,727.8124925183744,2021
