,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,86.0433649256556,86.0433649256556,85.3019217091225,91.308626004624,78.5601399980282,87.5
1,AOS,,,,,,,,
2,ABT,True,100.0,79.9915247586243,80.5712848113663,51.5711517165005,88.6779622480418,83.4308882973479,79.4117647058823
3,ABBV.K,,,,,,,,
4,ABMD.O,,,,,,,,
5,ACN,True,100.0,71.701227408967,71.701227408967,77.6736935909115,78.8981689677234,63.7121212121212,92.4242424242424
6,ATVI.O,False,,15.1225545524339,15.1225545524339,0.0,8.97972512494321,24.9489795918367,81.8181818181818
7,ADM,True,100.0,56.2727351396818,56.2727351396818,52.4985211091557,55.9200297370438,61.0337671300404,92.8571428571428
8,ADBE.O,True,100.0,68.6046252063681,68.6046252063681,79.6976237303431,65.477720006676,67.9693384600217,100.0
9,ADP.O,False,,34.332067408848,34.332067408848,30.2621757923027,40.0889936392549,30.5956817509612,100.0
10,AAP,False,,43.8823845677224,43.8823845677224,7.43859649122807,33.8037863335033,73.5204081632653,100.0
11,AES,True,100.0,48.2077092192153,48.2077092192153,31.5867236833645,35.2623365335229,93.2923691215616,100.0
12,AFL,True,23.0,61.0277549861746,61.0277549861746,51.4211037418128,72.1257965778514,57.5151335896677,75.0
13,A,True,100.0,77.1790830536846,77.1790830536846,77.3878737541528,91.2253842013437,58.5873508823819,100.0
14,APD,True,100.0,84.4289564027193,84.4289564027193,82.3861058542078,82.9482434480727,90.5469782115744,100.0
15,AKAM.O,True,100.0,42.3010677597764,42.3010677597764,37.5582147752718,40.6256815084052,45.1666173715863,100.0
16,ALK,,,,,,,,
17,ALB,True,100.0,71.2351674456082,71.2351674456082,61.4454182558867,74.450915394242,83.0814847678201,100.0
18,ARE,False,,26.8007867814765,26.8007867814765,12.8615663941243,21.4665900900718,48.0714285714285,100.0
19,ALGN.O,,,,,,,,
20,ALLE.K,,,,,,,,
21,LNT.O,True,100.0,35.8903258017279,35.8903258017279,37.0290327497051,27.2394742733725,45.2006309770285,44.4444444444444
22,ALL,True,84.3,75.1274754545071,75.1274754545071,90.4087304047014,72.4811622928061,74.9342896578921,100.0
23,GOOGL.O,False,,25.3913558279869,49.2675601408223,67.423778021847,52.7599386642435,40.8133688257912,1.51515151515151
24,GOOG.O,False,,25.3913558279869,49.2675601408223,67.423778021847,52.7599386642435,40.8133688257912,1.51515151515151
25,MO,True,100.0,50.6372924261263,82.7031562808242,87.5955091220957,89.0551173989209,66.3467908902691,18.5714285714285
26,AMZN.O,False,,28.7861122099567,42.5722244199134,21.8231887349534,39.9488491048593,63.4387755102041,15.0
27,AMCR.K,True,100.0,61.3435348439807,61.3435348439807,63.1493765984654,55.128980951546,69.104793804841,83.3333333333333
28,AMD.O,True,100.0,65.7813713207677,65.7813713207677,65.1886574074074,67.9435566747155,62.9250221827861,100.0
29,AEE,True,100.0,42.1735493533965,46.8470987067931,51.5491262305355,40.5370985603543,47.4277827072858,37.5
30,AAL.O,True,100.0,32.3904684217211,47.3896324956162,55.7234848484848,52.1846134298964,31.1631174208813,17.3913043478261
31,AEP.O,True,100.0,63.2007187872256,63.2007187872256,58.499733088642,61.0544456589654,73.9825495415557,100.0
32,AXP,False,,47.2401747653421,47.2401747653421,56.80696120987,52.6323987681998,46.3711919550429,91.1764705882352
33,AIG,False,,22.9300610277213,34.4964856918062,24.4829438624765,35.6648811614565,42.7040816326531,11.3636363636363
34,AMT,True,100.0,46.1087070913087,46.1087070913087,30.2172666819536,60.1461291744692,51.4691412797003,100.0
35,AWK,True,100.0,71.2850131941338,71.2850131941338,58.3006535947712,77.394540942928,85.9930493936705,75.0
36,AMP,False,,46.3699892987641,46.3699892987641,39.8749738439004,61.1596931073429,44.3775510204081,82.3529411764705
37,ABC,False,,45.1904308266583,45.1904308266583,0.0,39.2361910241657,74.1190476190476,100.0
