,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,73.3317739786573,89.9968812906479,84.1969060351413,95.7721843003413,89.1026017662795,56.6666666666666
1,AOS,,,,,,,,
2,ABT,True,100.0,58.5101672787282,73.5420736878912,50.2310256021815,83.1628130041128,71.7532560281976,43.4782608695652
3,ABBV.K,True,100.0,61.3327624057548,61.3327624057548,55.8869645750451,70.2052183716359,52.0669549548201,90.0
4,ABMD.O,,,,,,,,
5,ACN,True,100.0,72.5482858483478,72.5482858483478,77.7515859826363,83.1489172085779,61.8589743589743,100.0
6,ATVI.O,False,,42.0131549350512,42.0131549350512,9.27835051546391,24.7519949551701,66.6973729102695,90.0
7,ADM,True,100.0,54.6001901150925,54.6001901150925,49.5968012067329,46.5899418814588,73.9438468068438,100.0
8,ADBE.O,True,100.0,70.2617480871169,70.2617480871169,79.9327620040185,70.2253817142746,67.3917593997718,100.0
9,ADP.O,True,100.0,47.4365748569773,47.4365748569773,22.8510404734631,41.3077337442362,60.0898483524475,100.0
10,AAP,False,,38.7468595819304,38.7468595819304,7.29251700680272,39.2708057903104,54.1214602524736,100.0
11,AES,True,100.0,53.8543522536988,53.8543522536988,37.5300892714809,43.3294972743791,95.2879107965847,100.0
12,AFL,True,80.0,55.8476532501115,55.8476532501115,53.2742914979757,71.6774465691788,44.5531377689291,100.0
13,A,True,100.0,82.9787848300779,82.9787848300779,71.0801393728222,88.8601297310913,80.7877152571297,93.4782608695652
14,APD,True,100.0,78.7975314932712,78.7975314932712,77.5931382188708,72.1616082492765,92.1694962192586,100.0
15,AKAM.O,True,70.0,48.2449744394519,48.2449744394519,41.4535918164234,41.7686660436803,55.8592103449416,100.0
16,ALK,,,,,,,,
17,ALB,True,100.0,71.8138614601821,71.8138614601821,73.053584289692,66.0185669208301,79.4434890975059,100.0
18,ARE,False,,29.0767389668079,29.0767389668079,10.2295745299476,26.4246645826798,53.5551006482429,100.0
19,ALGN.O,,,,,,,,
20,ALLE.K,False,,28.5693833245321,28.5693833245321,7.13794289645683,31.7977528089887,37.5213675213675,100.0
21,LNT.O,True,100.0,43.3466364720575,43.3466364720575,38.8807952691541,35.0421966484958,61.7343382876232,100.0
22,ALL,True,79.0,78.6885422442375,82.3770844884751,86.0762483130904,74.0950062163282,91.8214921250928,75.0
23,GOOGL.O,False,,26.7531073626435,51.8395480586203,71.6495432182224,47.8918331991055,49.2959706397664,1.66666666666666
24,GOOG.O,False,,26.7531073626435,51.8395480586203,71.6495432182224,47.8918331991055,49.2959706397664,1.66666666666666
25,MO,True,100.0,47.0079977826588,80.379631928954,88.2076103704696,76.0759637943651,79.2046378091597,13.6363636363636
26,AMZN.O,False,,32.7182256118154,49.8114512236309,15.58781770403,50.2159904896036,79.3892869327874,15.625
27,AMCR.K,True,100.0,68.4577666519797,68.4577666519797,67.8456717587152,68.6742101496199,69.0295606728727,100.0
28,AMD.O,True,18.707,61.2665969801124,63.7096645484602,68.3351234739232,74.0592392615022,41.0823155613853,58.8235294117647
29,AEE,True,100.0,38.8081612269462,38.8081612269462,39.8806705043264,33.9603283173734,43.8262050313829,70.0
30,AAL.O,True,72.22,51.6225771476084,51.6225771476084,61.6520447637468,55.1638530287983,35.3766177225485,84.0909090909091
31,AEP.O,True,100.0,58.5593692201011,58.5593692201011,51.8678454775786,63.2279635469969,63.8657869574247,100.0
32,AXP,False,,51.1560754110126,51.1560754110126,37.3484799217341,42.8183981745559,74.3454418100155,86.6666666666666
33,AIG,True,100.0,27.7480147198302,45.8806448242758,62.9850802219223,51.5183973713812,38.9025402664701,9.61538461538461
34,AMT,True,100.0,42.1676362311331,42.1676362311331,23.6972402597402,56.0793618348481,50.6548669364924,100.0
35,AWK,True,100.0,60.8285052358979,71.6570104717958,62.5735294117647,77.8033794162826,79.6891390463288,50.0
36,AMP,False,,62.0373084838832,62.0373084838832,22.171761093396,65.1390265713903,76.7212555441829,100.0
37,ABC,False,,44.2680269854887,44.2680269854887,0.0,37.0357075382581,74.4489935175708,100.0
