,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,81.7700729659639,88.5401459319279,87.5196232339088,96.2681523121193,77.4574355034888,75.0
1,AOS,True,100.0,53.6955337515041,53.6955337515041,59.9418192121236,40.8539917800024,63.0366795613963,100.0
2,ABT,True,100.0,80.9521003229381,80.9521003229381,74.1542933183919,85.1702368384612,78.5705305129541,86.2068965517241
3,ABBV.K,True,100.0,63.4782383378653,78.7746584939124,70.7084139264989,90.9590953831607,66.4809404921945,48.1818181818181
4,ABMD.O,False,,20.8908004366234,20.8908004366234,0.0,28.8130156942437,20.2089238845144,100.0
5,ACN,True,100.0,77.5113496096404,77.5113496096404,78.3243145743144,78.4331829002126,76.4736592311343,100.0
6,ATVI.O,False,,59.5394602148538,59.5394602148538,19.5075757575757,54.4815340842758,75.9044619422572,100.0
7,ADM,True,100.0,80.8605521618013,80.8605521618013,78.2776928391218,79.7617301585381,85.6002176557198,81.25
8,ADBE.O,True,100.0,66.0985374248399,66.0985374248399,77.9085023163969,75.9543777372323,54.0685743550348,89.0625
9,ADP.O,True,100.0,78.6788614037947,78.6788614037947,45.0805042910305,84.8534561258967,83.4413564158138,100.0
10,AAP,True,100.0,43.2279567997092,43.2279567997092,25.9106283609594,63.2892820643842,29.5962596138897,100.0
11,AES,True,100.0,69.6196953755511,69.6196953755511,51.0602429706384,73.0606183218691,96.6975646336891,100.0
12,AFL,True,40.916,59.5512323316443,59.5512323316443,36.2953879475092,60.107051411342,66.6547248667087,100.0
13,A,True,100.0,88.2999856312144,88.2999856312144,79.3125787925479,94.4813537882404,84.3553074158413,100.0
14,APD,True,41.0,80.2680954956295,80.2680954956295,93.2898555372745,78.9297792937069,59.530688541981,100.0
15,AKAM.O,True,100.0,57.5602568457812,57.5602568457812,66.6398002582212,46.2151040189992,64.6058309784447,100.0
16,ALK,True,92.069,55.4556949915919,55.4556949915919,41.1937317425122,44.7730139346224,86.8711350105627,100.0
17,ALB,True,100.0,65.5728425089465,65.5728425089465,42.0400289930371,82.7024057027113,78.1223865309519,100.0
18,ARE,True,63.1,75.7529451198485,75.7529451198485,69.4836279691391,84.0762248998814,75.2525135577565,100.0
19,ALGN.O,False,,49.3169176761669,49.3169176761669,26.0518179817101,43.121921882873,68.3307086614173,86.2068965517241
20,ALLE.K,False,,59.5933005509256,59.5933005509256,41.2114845938375,62.3547345124814,67.2789115646258,100.0
21,LNT.O,True,100.0,56.1279838883458,56.1279838883458,71.4371684149315,38.2041005945155,53.4034184751296,100.0
22,ALL,True,51.0,76.706299958038,76.706299958038,79.0920082911101,78.5828076300449,73.7218048963391,84.375
23,GOOGL.O,True,100.0,36.5216452502037,69.1370405004075,76.2746829194196,91.5196413621034,47.7218414771324,3.90625
24,GOOG.O,True,100.0,36.5216452502037,69.1370405004075,76.2746829194196,91.5196413621034,47.7218414771324,3.90625
25,MO,True,100.0,46.0129259376959,88.2758518753918,88.9993225813658,93.0764000682392,79.185753610067,3.75
26,AMZN.O,True,100.0,45.3801357912896,87.8190951119911,89.1253709920692,87.97962576745,86.5228913458988,2.94117647058823
27,AMCR.K,True,100.0,68.7555742983651,68.7555742983651,70.7081406105457,62.9801437178486,75.5477855477855,100.0
28,AMD.O,True,26.207,66.1762341525366,66.1762341525366,65.9465607591706,73.7739462552128,53.9156172551601,82.1428571428571
29,AEE,True,100.0,43.0552753097782,43.0552753097782,36.3406263406263,23.8421784933413,82.6804155578113,100.0
30,AAL.O,True,51.0,45.3366144212985,69.5193826887508,57.7979270052441,69.2401220104521,82.8241177169927,21.1538461538461
31,AEP.O,True,100.0,62.5648068480291,62.5648068480291,66.5809522650359,67.8708935716533,48.8394468984059,100.0
32,AXP,True,100.0,72.6885317270052,78.3867721918746,34.5916106447784,80.2880801002803,93.2852570257986,66.9902912621359
33,AIG,True,100.0,64.0180136689655,64.0180136689655,51.7563236865058,49.4047973850075,85.1539959944031,100.0
34,AMT,True,100.0,71.8355026169185,71.8355026169185,76.3608355680526,71.3711130491,66.9919577126029,100.0
35,AWK,False,,72.7529376784555,72.7529376784555,61.5166867636932,80.5602879796429,82.4423697037871,100.0
36,AMP,True,100.0,65.9551035868261,65.9551035868261,22.6271294177472,64.0081789294665,80.5975655482089,100.0
37,ABC,True,100.0,34.0247588235814,66.3253797161284,54.3180817641526,52.5179345297847,90.1085882557363,1.72413793103448
38,AME,True,100.0,46.4331872751257,46.4331872751257,31.9567507640016,50.9357870032211,57.9015025560829,100.0
39,AMGN.O,True,88.0,47.2107673336658,73.5124437582408,76.8254352030947,79.8984900692235,61.5393252672684,20.9090909090909
40,APH,True,70.4,66.0924708922333,66.0924708922333,76.7522566081463,56.3855847636425,62.7505427675199,100.0
41,ADI.O,True,100.0,72.5461703325329,72.5461703325329,85.5027575211062,66.2129528948057,67.448074478495,100.0
42,ANSS.O,True,100.0,59.2832540628156,59.2832540628156,58.8447444368496,87.1958774876222,35.3789367792441,100.0
43,AON,True,100.0,36.1321181194655,58.2017362389311,32.7708576300753,63.908704303904,60.0205663660813,14.0625
44,APA.O,True,100.0,37.7061192113084,57.8196458300242,41.9951082349145,55.6967950005025,84.8147182821659,17.5925925925925
45,AAPL.O,True,100.0,37.6096780118235,70.6739014781924,59.4790862557357,67.5010167435586,85.66122527367,4.54545454545454
46,AMAT.O,True,100.0,76.8458671798191,76.8458671798191,78.4929759261206,75.8831846238609,76.4577629015885,100.0
47,APTV.K,True,100.0,65.0506300504704,65.0506300504704,55.7882197667044,67.6201762148009,73.6355007119126,100.0
48,ACGL.O,False,,38.6006412756604,38.6006412756604,7.04142859942962,37.1194075493053,50.8484848484848,100.0
49,ANET.K,True,100.0,59.2519531926422,59.2519531926422,60.9827264239029,51.9178703056585,65.5237747720559,100.0
50,AJG,True,100.0,57.6293552160781,57.6293552160781,26.6424924292168,51.4582955870136,75.1578790456071,100.0
51,AIZ,True,100.0,64.0927840636104,64.0927840636104,28.4466174034908,60.7521475389814,79.8722488957173,100.0
52,T,True,89.597,37.7271553083508,69.3567496410919,79.4645229401302,79.6163846520341,41.0311887843287,6.09756097560975
53,ATO,True,100.0,41.1329039567421,41.1329039567421,32.8147692056309,39.8737373737373,54.9862858606088,100.0
54,ADSK.O,True,100.0,82.2767703238004,82.2767703238004,73.4617794486214,75.8512702314757,90.4543371103002,100.0
55,AZO,True,100.0,59.2729968195374,59.2729968195374,34.571080133994,67.2710781808891,62.7371980941406,100.0
56,AVB,True,100.0,76.3130395983928,76.3130395983928,61.9477205863209,78.1303445299071,91.3663310378885,100.0
57,AVY,True,100.0,53.9947201864499,53.9947201864499,63.8098982423681,64.0198534226637,21.957749183791,100.0
58,BKR.O,True,100.0,78.3883864483101,78.3883864483101,94.3092185592185,88.4002265750536,45.5750208053261,97.3684210526315
59,BALL.K,True,100.0,72.5008139605493,72.5008139605493,80.4037927844588,83.341268411526,42.014365277511,100.0
60,BAC,True,100.0,46.5398431256505,80.9437639212041,86.3939051586923,89.2055551376562,67.3807950835413,12.1359223300971
61,BBWI.K,True,100.0,52.0396259781134,52.0396259781134,63.7225735901232,52.8924374041901,45.2505839209123,100.0
62,BAX,True,100.0,51.9845832620863,85.0036492827932,78.2715166189742,80.9017662839686,93.5461238076947,18.9655172413793
63,BDX,True,100.0,77.5839650769218,77.5839650769218,78.0719088307686,88.442385548103,63.0593377047381,86.2068965517241
64,WRB,True,2.5,48.7467580589623,48.7467580589623,49.8213638190068,51.7239343728372,44.9151837727601,84.375
