,Symbol,11/20/2022
230,HSY,32.6530612244897
231,HES,39.6825396825396
232,HPE,71.875
233,HLT,100.0
234,HOLX.O,100.0
235,HD,100.0
236,HON.O,70.8333333333333
237,HRL,100.0
238,HST.O,100.0
239,HWM,100.0
240,HPQ,71.875
241,HUM,100.0
242,HBAN.O,81.0185185185185
243,HII,73.2142857142857
244,IBM,100.0
245,IEX,100.0
246,IDXX.O,100.0
247,ITW,100.0
248,ILMN.O,46.0526315789473
249,INCY.O,100.0
250,IR,100.0
251,INTC.O,5.0
252,ICE,100.0
253,IP,12.5
254,IPG,30.8823529411764
255,IFF,72.4489795918367
256,INTU.O,41.6666666666666
257,ISRG.O,100.0
258,IVZ,100.0
259,INVH.K,100.0
260,IQV,100.0
261,IRM,100.0
262,JBHT.O,100.0
263,JKHY.O,100.0
264,J,100.0
265,JNJ,2.27272727272727
266,JCI,57.8125
267,JPM,10.6481481481481
268,JNPR.K,100.0
269,K,72.4489795918367
270,KDP.O,100.0
271,KEY,100.0
272,KEYS.K,100.0
273,KMB,81.8181818181818
274,KIM,100.0
275,KMI,100.0
276,KLAC.O,100.0
277,KHC.O,49.0
278,KR,8.62068965517241
279,LHX,100.0
280,LH,100.0
281,LRCX.O,75.0
282,LW,100.0
283,LVS,100.0
284,LDOS.K,100.0
285,LEN,100.0
286,LNC,100.0
287,LIN,100.0
288,LYV,8.33333333333333
289,LKQ.O,100.0
290,LMT,45.6521739130434
291,L,100.0
292,LOW,72.0
293,LUMN.K,97.3684210526315
294,LYB,66.0
295,MTB,29.6296296296296
296,MRO,100.0
297,MPC,31.8181818181818
298,MKTX.O,100.0
299,MAR.O,7.75862068965517
300,MMC,64.8148148148148
301,MLM,100.0
302,MAS,100.0
303,MA,21.7171717171717
304,MTCH.O,44.4444444444444
305,MKC,100.0
306,MCD,0.862068965517241
307,MCK,25.0
308,MDT,100.0
309,MRK,52.2727272727272
310,META.O,0.505050505050505
311,MET,100.0
312,MTD,100.0
313,MGM,72.0930232558139
314,MCHP.O,100.0
315,MU.O,100.0
316,MSFT.O,12.6262626262626
317,MAA,100.0
318,MRNA.O,44.4444444444444
319,MHK,100.0
320,MOH,100.0
321,TAP,75.0
322,MDLZ.O,19.0
323,MPWR.O,100.0
324,MNST.O,100.0
325,MCO,67.0212765957446
326,MS,1.28205128205128
327,MOS,100.0
328,MSI,23.6842105263157
329,MSCI.K,100.0
330,NDAQ.O,69.047619047619
331,NTAP.O,71.875
332,NFLX.O,11.1111111111111
333,NWL.O,25.0
334,NEM,66.1111111111111
335,NWSA.O,71.1538461538461
336,NWS.O,71.1538461538461
337,NEE,54.8387096774193
338,NKE,68.75
339,NI,100.0
340,NDSN.O,100.0
341,NSC,100.0
342,NTRS.O,100.0
343,NOC,78.2608695652174
344,NLOK.O,100.0
345,NCLH.K,100.0
346,NRG,79.0322580645161
347,NUE,100.0
348,NVDA.O,35.0
349,NVR,100.0
350,NXPI.O,100.0
351,ORLY.O,100.0
352,OXY,20.6349206349206
353,ODFL.O,100.0
354,OMC,100.0
355,ON.O,100.0
356,OKE,100.0
357,ORCL.K,40.5
358,OGN,
359,OTIS.K,100.0
360,PCAR.O,100.0
361,PKG,100.0
362,PARA.O,21.6666666666666
363,PH,100.0
364,PAYX.O,100.0
365,PAYC.K,100.0
366,PYPL.O,27.7777777777777
367,PNR,100.0
368,PEP.O,100.0
369,PKI,76.6666666666666
370,PFE,6.06060606060606
371,PCG,1.61290322580645
372,PM,100.0
373,PSX,31.8181818181818
374,PNW,100.0
375,PXD,100.0
376,PNC,100.0
377,POOL.O,100.0
378,PPG,100.0
379,PPL,67.8571428571428
380,PFG.O,100.0
381,PG,11.5384615384615
382,PGR,100.0
383,PLD,100.0
384,PRU,100.0
385,PEG,100.0
386,PTC.O,100.0
387,PSA,100.0
388,PHM,100.0
389,QRVO.O,100.0
390,PWR,100.0
391,QCOM.O,35.0
392,DGX,100.0
393,RL,100.0
394,RJF,100.0
395,RTX,40.625
396,O,100.0
397,REG.O,100.0
398,REGN.O,81.9444444444444
399,RF,100.0
400,RSG,100.0
401,RMD,100.0
402,RHI,100.0
403,ROK,100.0
404,ROL,100.0
405,ROP,100.0
406,ROST.O,100.0
407,RCL,100.0
408,SPGI.K,33.6734693877551
409,CRM,44.4444444444444
410,SBAC.O,100.0
411,SLB,91.9354838709677
412,STX.O,100.0
413,SEE,100.0
414,SRE,100.0
415,NOW,80.8080808080808
416,SHW,100.0
417,SBNY.O,100.0
418,SPG,100.0
419,SWKS.O,100.0
420,SJM,75.0
421,SNA,100.0
422,SEDG.O,21.4285714285714
423,SO,29.0322580645161
424,LUV,12.5
425,SWK,100.0
426,SBUX.O,5.81395348837209
427,STT,100.0
428,STE,100.0
429,SYK,100.0
430,SIVB.O,100.0
431,SYF,100.0
432,SNPS.O,100.0
433,SYY,100.0
434,TMUS.O,77.1739130434782
435,TROW.O,100.0
436,TTWO.O,61.1111111111111
437,TPR,100.0
438,TRGP.K,100.0
439,TGT,100.0
440,TEL,100.0
441,TDY,100.0
442,TFX,46.0526315789473
443,TER.O,100.0
444,TSLA.O,3.48837209302325
445,TXN.O,100.0
446,TXT,73.2142857142857
447,TMO,100.0
448,TJX,22.7272727272727
449,TSCO.O,100.0
450,TT,100.0
451,TDG,100.0
452,TRV,100.0
453,TRMB.O,100.0
454,TFC,100.0
455,TYL,100.0
456,TSN,3.06122448979591
457,USB,6.69642857142857
458,UDR,50.0
459,ULTA.O,100.0
460,UNP,100.0
461,UAL.O,23.75
462,UPS,67.3913043478261
463,URI,100.0
464,UNH,6.0
465,UHS,68.0
466,VLO,76.3636363636363
467,VTR,100.0
468,VRSN.O,100.0
469,VRSK.O,100.0
470,VZ,43.4782608695652
471,VRTX.O,100.0
472,VFC,100.0
473,VTRS.O,20.5882352941176
474,VICI.K,100.0
475,V,30.3030303030303
476,VNO,100.0
477,VMC,100.0
478,WAB,63.4146341463414
479,WBA.O,12.0689655172413
480,WMT,5.76923076923076
481,WBD.O,92.6470588235294
482,WM,100.0
483,WAT,100.0
484,WEC,100.0
485,WFC,48.6111111111111
486,WELL.K,100.0
487,WST,100.0
488,WDC.O,100.0
489,WRK,100.0
490,WY,100.0
491,WHR,100.0
492,WMB,72.0
493,WTW.O,7.40740740740741
494,GWW,100.0
495,WYNN.O,100.0
496,XEL.O,6.45161290322581
497,XYL,100.0
498,YUM,100.0
499,ZBRA.O,95.4545454545454
500,ZBH,100.0
501,ZION.O,100.0
502,ZTS,100.0
