,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,55.4922656038772,85.9845312077544,87.341792111681,96.8719323907037,66.2716121786394,25.0
1,AOS,False,,41.0636220217159,41.0636220217159,37.5724394581019,32.5219324413583,56.4521452145214,100.0
2,ABT,True,100.0,59.4941672258732,77.6839866256595,75.8938798887252,81.2396609897756,73.8377318568093,41.3043478260869
3,ABBV.K,True,100.0,61.6058044633684,75.5371903220858,67.1861556574784,91.6113703226023,57.6393134086927,47.6744186046511
4,ABMD.O,False,,20.5481307148835,20.5481307148835,0.0,32.3873485526098,14.5489548954895,82.6086956521739
5,ACN,True,100.0,77.8016862363054,77.8016862363054,76.9413670938065,77.5108954162833,78.3101851851851,100.0
6,ATVI.O,False,,51.7820536635343,51.7820536635343,15.2061855670102,51.0297393998164,63.4026402640264,100.0
7,ADM,True,100.0,76.2706449273683,76.2706449273683,74.4036502637178,73.4945020046841,83.1208971071323,100.0
8,ADBE.O,True,100.0,78.9966084166381,78.9966084166381,76.1656810536651,77.4239587885093,81.2001126941962,100.0
9,ADP.O,True,100.0,68.6196278212501,68.6196278212501,42.9957916230887,84.0556746478328,63.0146272466968,100.0
10,AAP,False,,62.9669257734553,62.9669257734553,30.5016722408026,73.1706442170192,67.8620876024884,100.0
11,AES,True,100.0,65.7230509353751,65.7230509353751,43.9843383926894,69.9361232334443,97.2018682704507,100.0
12,AFL,True,41.37,32.7793711686261,54.8444566229665,31.0568772217664,60.9385351490614,55.6638914762556,10.7142857142857
13,A,True,100.0,89.4019730174249,89.4019730174249,78.0457371952217,94.1220385651363,88.4867967633,100.0
14,APD,True,38.0,85.1394462400934,85.1394462400934,93.5148647864942,79.6849420123022,79.5852278607651,100.0
15,AKAM.O,False,,51.8133870065156,51.8133870065156,62.1199118420509,45.1894864451745,54.425343928121,100.0
16,ALK,True,95.055,55.2088112501349,55.2088112501349,39.9372711548397,48.6066480670761,81.7273567077962,100.0
17,ALB,True,100.0,35.6329834347841,69.0920538260899,52.5083552899153,78.4163395524886,82.5904370924897,2.17391304347826
18,ARE,True,57.0,72.9028068111848,72.9028068111848,71.878187449616,80.7859190097249,66.6968296132749,100.0
19,ALGN.O,False,,30.1392989911601,30.1392989911601,0.736377025036819,20.1099237820645,57.0660066006601,82.6086956521739
20,ALLE.K,False,,59.8537895125056,59.8537895125056,45.1494505691013,60.196624818563,67.8472222222222,100.0
21,LNT.O,True,100.0,57.2310401836248,57.2310401836248,67.9409623097581,43.0722799859946,57.4305608261174,100.0
22,ALL,True,51.0,70.8507768631547,70.8507768631547,81.8355134064732,81.9658762290341,54.2215820885224,100.0
23,GOOGL.O,True,100.0,34.5104629221007,66.2936531169288,74.0938647281508,88.5185273347265,44.8155035015696,2.72727272727272
24,GOOG.O,True,100.0,34.5104629221007,66.2936531169288,74.0938647281508,88.5185273347265,44.8155035015696,2.72727272727272
25,MO,True,100.0,87.1269771138802,87.1269771138802,88.6707293339839,93.7363344051446,74.0093490185255,100.0
26,AMZN.O,True,100.0,48.0030004081771,85.2917151020685,85.3924900530504,84.4388156600432,86.0762295741769,10.7142857142857
27,AMCR.K,True,100.0,75.4617026285346,75.4617026285346,70.6951366214125,68.1101275471998,95.2272727272727,100.0
28,AMD.O,True,20.494,43.8226978136164,69.78825277009,64.853721158069,78.0048287600142,62.1523403211401,17.8571428571428
29,AEE,True,100.0,45.5976278733914,45.5976278733914,48.2410982410982,25.8838061163642,69.0958590632582,100.0
30,AAL.O,True,51.0,69.6221321765893,69.6221321765893,59.1804816137655,72.9163863862761,76.2580735425458,100.0
31,AEP.O,True,100.0,67.0958179254399,67.0958179254399,65.9256142889481,68.3575030718042,67.4449734172023,100.0
32,AXP,True,100.0,58.3451939017545,72.0475306606519,32.1935985192071,78.8003249969492,78.6852535427758,44.6428571428571
33,AIG,True,65.45,63.1991041056436,63.1991041056436,54.9835780844804,47.3236500341763,84.4589758627431,100.0
34,AMT,True,100.0,73.6052309687647,73.6052309687647,77.7977427977428,69.7193465874784,72.3623808373868,100.0
35,AWK,True,100.0,65.1482394851727,65.1482394851727,64.2720588235294,64.2104227675497,67.7683367639899,100.0
36,AMP,True,100.0,69.7365787597695,69.7365787597695,19.6710696710696,70.8285607320019,83.8341133764944,79.6296296296296
37,ABC,True,100.0,33.122593792425,64.0712745413718,49.511127475045,51.3283360724482,87.6442121564072,2.17391304347826
38,AME,True,100.0,42.1685937414201,42.1685937414201,25.4522814350401,40.1566757312813,64.8660165668134,100.0
39,AMGN.O,True,88.0,71.9187276634072,71.9187276634072,77.5132938292049,81.0040014456835,54.2386088783094,100.0
40,APH,True,100.0,67.9995184347296,67.9995184347296,73.6008011644175,56.2871348736733,73.4062664106132,100.0
41,ADI.O,True,100.0,77.1829805920871,77.1829805920871,94.3380291206379,64.6385249745785,77.2952741267158,100.0
42,ANSS.O,False,,45.6362240656226,45.6362240656226,32.0991189738803,56.7252004107764,40.1485148514851,100.0
43,AON,False,,49.2712905772337,49.2712905772337,19.4859174186491,52.6528208633471,55.2546296296296,100.0
44,APA.O,True,100.0,58.8183134135001,58.8183134135001,47.0597984686361,58.3697651879043,76.8640463349471,100.0
45,AAPL.O,True,100.0,37.8574248654391,72.1434211594497,57.3403508771929,69.2334511608223,89.6687595588827,3.57142857142857
46,AMAT.O,True,100.0,80.1781476268749,80.1781476268749,78.8522347218,78.0011458408419,85.3612960599196,100.0
47,APTV.K,True,100.0,56.3125496036513,56.3125496036513,50.5393480775394,56.650027496933,63.8194444444444,100.0
48,ACGL.O,False,,33.7617592933382,33.7617592933382,0.0,28.1158578263841,51.6025641025641,100.0
49,ANET.K,False,,44.7050785541395,44.7050785541395,53.5549833248393,45.4185399606644,38.984598459846,70.8333333333333
50,AJG,True,100.0,53.1753011050126,53.1753011050126,26.5615243383906,48.6802933908197,67.2907356937784,100.0
51,AIZ,True,100.0,61.3554485037773,61.3554485037773,29.0853158326497,53.6223513328776,81.1341060935362,100.0
52,T,True,90.653,33.7550282764365,63.5626881318203,81.035108053521,68.0164638431567,41.2348715707807,3.94736842105263
53,ATO,True,100.0,30.9954294722923,30.9954294722923,13.1484794275491,36.9047619047619,47.5150814733041,100.0
54,ADSK.O,True,100.0,80.2817276818463,80.2817276818463,67.8062009998775,74.7751026253848,88.7662017072787,100.0
55,AZO,False,,55.8685188911392,55.8685188911392,32.4170965364775,63.3171873389009,59.3179317931793,100.0
56,AVB,True,100.0,76.4006546086406,76.4006546086406,74.5898001612287,77.7435662295852,77.2524733309567,100.0
