,Symbol,2021,2020,2019,2018,2017,2016
103,SCHW.K,12.0,9.05,17.91,19.0,12.74,
104,CHTR.O,24.589,11.66,4.93,3.26,1.5,5.34
105,CVX,11.53,-0.27,7.92,9.82,4.78,1.18
106,CMG,33.57,16.47,25.46,18.06,13.6,1.3
107,CB,9.349,5.77,8.79,8.69,6.77,12.0
108,CHD,24.109,25.1,24.35,24.34,23.73,23.19
109,CI,14.33,14.21,15.0,12.99,19.43,16.34
110,CINF.O,8.73,5.16,7.84,6.83,8.0,7.58
111,CTAS.O,35.329,32.09,28.09,27.79,24.48,21.67
112,CSCO.O,28.71,34.44,38.21,35.92,23.24,18.6
113,C,11.5,5.9,10.3,9.4,6.85,6.6
114,CFG,10.0,4.6,8.45,8.62,6.49,5.23
115,CLX,105.269,139.95,128.02,127.63,128.26,167.1
116,CME.O,8.91,9.19,9.35,9.7,7.6,7.51
117,CMS,12.65,14.53,14.49,14.33,14.03,13.75
118,KO,47.689,44.07,50.63,52.52,41.24,34.37
119,CTSH.O,19.059,17.07,19.91,24.19,21.04,20.67
120,CL,402.22,612.33,325.33,,,-930.63
121,CMCSA.O,16.14,13.93,18.68,16.89,15.63,16.1
122,CMA,15.15,6.18,16.39,15.82,10.66,6.22
123,CAG,13.029,15.55,14.55,16.17,22.39,19.69
124,COP,21.26,-3.21,12.06,17.05,2.25,-8.83
125,ED,7.86,7.59,8.28,8.39,8.51,8.76
126,STZ,15.47,15.13,14.91,17.69,23.42,20.33
127,CEG.O,,,,,,
128,COO,12.24,12.83,17.809,17.64,14.24,15.43
129,CPRT.O,26.73,29.559,28.61,31.9,31.07,32.37
130,GLW,14.15,9.46,11.82,11.35,10.46,9.67
131,CTVA.K,6.349,4.59,2.17,,,
132,CSGP.O,8.08,8.05,11.609,10.63,7.16,8.63
133,COST.O,30.589,27.48,23.19,25.88,26.59,23.44
134,CTRA.K,16.23,9.8,32.96,23.04,9.6,-4.26
135,CCI,12.369,6.38,6.8,4.58,3.88,4.42
136,CSX.O,26.3,22.44,28.06,24.26,15.9,14.67
137,CMI,25.769,23.11,31.33,29.49,25.13,19.52
138,CVS,15.46,14.8,15.14,15.44,16.22,17.02
139,DHI,34.17,31.25,21.72,17.03,17.46,14.28
140,DHR,17.649,13.26,11.11,11.72,12.68,10.82
141,DRI,38.03,22.1,16.47,31.81,28.22,24.98
142,DVA,93.78,50.61,28.44,14.68,13.6,16.59
143,DE,38.02,22.6,28.059,29.48,26.86,22.98
144,DAL,-104.189,-85.85,32.78,28.42,27.29,34.76
145,XRAY.O,12.599,7.83,10.769,7.74,8.39,11.81
146,DVN,39.09,-0.71,5.88,7.0,9.53,-0.59
147,DXCM.O,13.08,22.33,22.01,4.9,-14.28,-25.99
148,FANG.O,19.239,4.36,8.42,6.49,11.27,5.05
149,DLR,9.41,1.91,5.0,2.47,2.24,6.92
150,DFS,44.06,9.71,25.36,24.42,19.99,20.7
151,DISH.O,16.449,13.91,13.88,20.35,17.46,39.28
152,DIS,,5.509,4.77,14.66,24.66,21.27
153,DG,37.13,39.74,26.469,25.34,21.68,23.45
154,DLTR.O,17.69,19.82,19.07,20.3,18.4,18.3
155,D,11.949,10.349,13.23,14.23,14.42,17.21
156,DPZ,,-14.63,-12.43,-12.14,-12.21,-11.66
157,DOV,29.28,25.68,30.07,21.14,19.68,13.67
158,DOW,44.25,9.49,11.26,,,
159,DTE,15.089,11.54,10.64,11.57,10.8,10.66
160,DUK,8.279,7.96,7.95,7.81,7.73,8.03
161,DD,7.21,6.22,6.88,9.81,12.53,
162,DXC,16.739,12.369,2.48,18.63,28.76,21.4
163,EMN,20.69,14.009,16.8,20.75,22.15,23.64
164,ETN,16.969,11.05,14.82,14.09,12.9,12.8
165,EBAY.O,39.899,86.58,52.91,32.17,23.26,25.19
166,ECL,20.2,15.7,20.35,19.699,18.98,18.77
167,EIX,10.939,10.72,12.289,12.21,12.39,11.08
168,EW,26.97,26.92,32.46,28.3,29.2,24.6
169,EA.O,25.969,21.9,22.17,26.2,31.59,32.96
170,ELV,18.51,17.61,16.79,15.26,12.5,12.25
171,LLY,101.73,175.45,89.549,53.54,35.39,26.14
172,EMR,30.92,26.92,23.62,26.78,24.24,20.84
173,ENPH.O,74.45,49.86,88.719,,524.66,-245.2
174,ETR,10.519,10.509,11.029,15.93,15.78,14.24
175,EOG,23.67,4.05,14.109,18.06,4.28,-6.63
176,EPAM.K,23.899,20.71,21.879,22.17,21.67,22.15
177,EQT,3.089,-0.53,2.049,3.66,2.88,-0.99
178,EFX,27.98,29.79,24.12,22.36,24.84,26.9
179,EQIX.O,4.65,3.8,6.32,5.19,4.15,3.57
180,EQR,12.38,8.74,9.44,6.42,5.87,41.44
181,ESS,8.15,9.48,7.04,6.2,6.95,6.68
182,EL,44.87,47.27,36.18,43.58,37.37,32.58
183,ETSY.O,71.989,60.79,23.75,19.43,15.77,-8.693
184,RE,11.619,3.18,10.24,2.34,4.57,12.67
185,EVRG.K,9.039,8.15,7.459,7.69,8.71,9.29
186,ES,13.939,9.27,9.07,9.15,9.07,8.95
187,EXC.O,8.25,9.72,19.699,9.98,8.87,9.64
188,EXPE.O,11.2,-38.22,23.32,20.91,15.68,15.53
189,EXPD.O,46.0,28.68,28.239,31.08,23.48,24.36
190,EXR,29.219,18.94,16.96,17.43,20.49,16.9
191,XOM,14.13,-0.81,5.03,10.98,8.61,5.84
192,FFIV.O,25.789,29.219,28.79,41.11,48.67,44.97
193,FDS,44.32,45.13,53.5,64.91,61.87,53.77
194,FAST.O,32.03,31.83,31.84,34.18,27.51,
195,FRT,10.05,4.91,14.13,5.07,11.0,13.7
196,FDX,22.41,23.01,1.84,22.19,23.25,22.31
197,FITB.O,11.7,6.15,11.08,11.66,12.01,9.29
198,FRC,9.98,9.31,10.02,10.93,10.04,9.59
199,FE,17.85,18.24,20.19,25.91,26.87,12.0
200,FIS,8.41,6.94,8.48,16.5,14.41,13.25
201,FISV.O,11.839,9.25,15.73,51.0,41.84,38.18
202,FLT,35.67,27.23,30.12,27.64,23.63,21.42
203,FMC,29.65,29.18,28.289,29.46,15.67,35.42
204,F,16.239,5.13,13.77,14.53,22.22,24.4
205,FTNT.O,81.33,51.66,37.02,39.97,25.88,
206,FTV,10.789,9.19,17.829,21.17,31.47,22.18
207,FBHS.K,27.379,22.61,22.09,20.44,19.21,18.04
208,FOXA.O,14.169,16.15,15.25,16.73,,
209,FOX.L,,,,,,-47.193
210,BEN,,17.949,12.54,23.9,17.07,13.82
211,FCX,38.4,8.11,0.38,25.13,24.29,4.47
212,GRMN.K,18.8,19.14,18.95,17.48,15.38,15.87
213,IT,2.25,43.369,39.68,38.05,57.0,
214,GNRC.K,21.277,34.03,35.45,44.25,44.31,45.73
215,GD,19.559,21.37,27.53,28.99,27.89,28.2
216,GE,6.019,0.34,19.129,11.9,13.0,15.63
217,GIS,24.109,26.78,29.28,29.6,34.79,39.75
218,GM,19.82,16.27,17.19,25.36,25.06,22.97
219,GPC,29.78,22.24,23.39,24.37,20.76,21.68
220,GILD.O,46.789,49.16,38.32,41.73,58.47,83.98
221,GL,8.13,9.18,11.839,12.14,13.3,12.74
222,GPN,9.05,11.01,7.78,21.23,19.42,
223,GS,23.0,10.18,10.0,12.3,11.07,9.4
224,HAL,16.51,8.87,12.36,18.63,12.0,-0.13
225,HIG,11.97,11.98,14.04,11.84,6.7,
226,HAS.O,24.109,17.35,22.09,27.27,37.54,32.1
227,HCA,-31.86,-356.89,-94.2,-59.03,-35.97,-36.48
228,PEAK.K,7.549,6.39,0.73,18.82,7.93,8.82
229,HSIC.O,18.91,13.4,17.57,22.01,20.34,19.07
230,HSY,59.81,66.09,77.65,97.67,119.56,103.91
231,HES,11.609,-12.68,-3.06,-2.15,-10.95,-9.02
232,HPE,14.449,10.65,12.6,10.82,8.59,10.27
233,HLT,-50.54,-2.84,,76.11,16.38,14.91
234,HOLX.O,43.93,63.09,43.69,28.01,23.72,23.5
235,HD,512.0,,-714.14,-5332.55,305.13,149.44
236,HON.O,30.48,27.85,32.18,34.78,29.69,27.18
237,HRL,14.11,14.7,16.41,19.54,18.05,21.07
238,HST.O,-0.69,-10.73,12.369,14.93,8.06,10.84
239,HWM,12.47,8.65,19.18,12.9,12.46,5.88
240,HPQ,,-189.07,-372.16,-163.38,-77.15,22.97
241,HUM,17.92,19.36,27.63,20.13,16.61,13.55
242,HBAN.O,7.9,6.8,11.68,13.4,11.2,8.2
