,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,87.2335121143619,87.2335121143619,85.4166666666665,97.5321351003944,73.1343491326069,100.0
1,AOS,False,,40.2349160177975,40.2349160177975,35.0053454420058,34.7879888516918,53.6519274376417,100.0
2,ABT,True,100.0,81.9932372092207,81.9932372092207,75.6059324505629,82.5465849253361,84.2454049370425,86.6666666666666
3,ABBV.K,True,100.0,79.4870072689187,79.4870072689187,61.4470188902006,90.8859166502378,75.6812952823405,86.6666666666666
4,ABMD.O,False,,25.8926014057644,25.8926014057644,0.0,32.9240912692768,28.7176870748299,100.0
5,ACN,True,100.0,82.1724655613429,82.1724655613429,77.1095457498965,89.7922512454301,77.1298593879238,100.0
6,ATVI.O,False,,43.9861816670398,43.9861816670398,9.32017543859648,51.8063758452824,47.6519274376417,86.9047619047619
7,ADM,True,100.0,78.708707134081,78.708707134081,76.5617868302722,75.0309893284868,87.4245985657135,100.0
8,ADBE.O,True,100.0,79.0825434607824,79.0825434607824,75.1114950676353,76.8219286647851,82.2204984975019,86.9047619047619
9,ADP.O,True,100.0,62.9183443362656,62.9183443362656,28.849902534113,65.5138173621502,70.9038862157329,100.0
10,AAP,True,100.0,54.8730901467315,54.8730901467315,30.0347409404013,57.8736512356421,63.9583079844404,100.0
11,AES,True,100.0,60.7039865933679,60.7039865933679,34.2948118175294,66.6418774705448,97.8803255719632,100.0
12,AFL,True,100.0,60.2584809915992,60.2584809915992,31.6933333333333,70.8568157745428,57.4154729642534,100.0
13,A,True,100.0,87.503299283211,87.503299283211,76.9855042874642,92.7530945416024,85.4993731910108,100.0
14,APD,True,39.0,78.9349028234796,78.9349028234796,89.7013453252705,72.5856252329339,70.6726858765186,100.0
15,AKAM.O,True,75.0,61.0772468811293,61.0772468811293,60.9992468545099,49.7060064781315,70.8925483472521,100.0
16,ALK,True,84.721,61.6850406413256,61.6850406413256,44.4012332702683,55.8799344250662,89.2436351234261,100.0
17,ALB,True,100.0,69.3737086377355,69.3737086377355,51.8097571740364,79.4303853046137,83.362876315838,100.0
18,ARE,True,100.0,69.2021404836313,69.2021404836313,58.3808315313798,76.9536003606038,74.5492413767675,100.0
19,ALGN.O,False,,21.9355037580696,21.9355037580696,0.904159132007234,17.3876830077939,37.7380952380952,100.0
20,ALLE.K,False,,43.9835927735544,43.9835927735544,33.0093285326849,59.2271024855294,35.1282051282051,100.0
21,LNT.O,True,100.0,60.345762696433,60.345762696433,65.555772494597,44.8354246226586,71.6521855354608,100.0
22,ALL,True,76.797,83.1382715208542,83.1382715208542,82.7724894514767,87.2120580165775,78.5074479656361,100.0
23,GOOGL.O,True,100.0,32.3206918619763,63.4509075334765,74.5266997459979,71.8166984259276,52.9242943789982,1.19047619047619
24,GOOG.O,True,100.0,32.3206918619763,63.4509075334765,74.5266997459979,71.8166984259276,52.9242943789982,1.19047619047619
25,MO,True,100.0,84.5960806182931,87.0493040937291,84.4896809025175,90.1691843196694,84.4744298803532,82.1428571428571
26,AMZN.O,True,100.0,38.2040360089205,72.2414053511744,57.6819509855224,74.5886820240031,82.4601607580701,4.16666666666666
27,AMCR.K,True,100.0,70.4309805393905,70.4309805393905,70.5163043478261,65.3075722092115,78.9814814814814,100.0
28,AMD.O,True,25.596,70.6002405863934,70.6002405863934,66.2359836901122,70.6150651700176,75.812888298951,100.0
29,AEE,True,100.0,45.78775934312,45.78775934312,44.7686018226954,30.5629225368306,69.4445089688992,100.0
30,AAL.O,True,69.273,42.2649724216014,72.0299448432029,61.5039399672571,72.5432461679257,82.8528565897904,12.5
31,AEP.O,True,100.0,61.6753783414306,61.6753783414306,58.3387878252775,69.1779047546125,57.5942978817543,100.0
32,AXP,True,100.0,72.5742959482136,72.5742959482136,31.0778064920115,79.6118563102947,79.4766974540493,89.1891891891891
33,AIG,True,100.0,67.9497018721765,67.9497018721765,64.0585654008438,58.5020862565838,80.2689655808122,68.1818181818181
34,AMT,True,100.0,61.3150204780968,61.3150204780968,51.8212375859434,63.6421414406489,70.2061925041019,100.0
35,AWK,False,,66.703323575253,66.703323575253,64.8874190824655,70.7168458781362,64.9518371034051,100.0
36,AMP,False,,65.4934323563558,65.4934323563558,16.8728104141313,65.4628522062732,80.1054421768707,100.0
37,ABC,True,100.0,37.9204246077567,55.8408492155134,21.7005483287639,51.4319239287237,77.5780745902697,20.0
38,AME,False,,26.1217025706041,26.1217025706041,23.0079344324898,29.0410677250947,26.0306122448979,100.0
39,AMGN.O,True,94.0,74.6191172964377,74.6191172964377,77.0019185360093,77.5357167037239,68.5130339398631,86.6666666666666
40,APH,False,,60.3074079831095,60.3074079831095,69.4707967685908,55.5925670573557,53.5027468982173,100.0
41,ADI.O,True,100.0,71.6918255996712,71.6918255996712,94.1512699626232,54.2857201595329,73.4605663403572,100.0
42,ANSS.O,False,,43.3835601446942,43.3835601446942,31.5889154704943,54.4621158108081,37.3820861678004,100.0
43,AON,False,,50.0335775375871,50.0335775375871,21.3733333333333,46.7704370370013,63.3939895230217,100.0
44,APA.O,True,100.0,48.6211639052281,48.6211639052281,47.5652920764775,58.3116548813817,32.8884003465884,100.0
45,AAPL.O,True,100.0,40.9536772738313,68.270990911299,55.6051063829787,64.5529919522325,85.4563261619011,13.6363636363636
46,AMAT.O,True,100.0,73.3765997882328,73.3765997882328,71.5941782761355,71.6589093101983,78.3496948915067,100.0
47,APTV.K,True,100.0,43.1008991788395,43.1008991788395,48.1076776189558,39.8021126766982,41.7176730079956,100.0
48,ACGL.O,False,,28.8761893243025,28.8761893243025,0.0,29.5561199806483,37.7083333333333,100.0
49,ANET.K,False,,41.8857647160991,41.8857647160991,51.5307911717946,39.2621236441461,39.0147392290249,88.8888888888888
50,AJG,True,100.0,57.6188674538911,57.6188674538911,20.2767932489451,53.9389946750631,74.359410430839,100.0
51,AIZ,True,100.0,64.7116530432171,64.7116530432171,21.2666666666666,61.5127859561822,82.9253267702745,100.0
52,T,True,93.332,38.4499461504759,62.4262080904255,75.4313613684961,67.6166562416226,42.0458584517817,14.4736842105263
53,ATO,False,,25.9294193868023,25.9294193868023,5.42635658914728,28.683574879227,51.09410430839,100.0
54,ADSK.O,True,100.0,81.8345557613582,81.8345557613582,71.8301435406697,74.2516060841398,91.3656416496137,100.0
55,AZO,False,,61.7195815218426,61.7195815218426,36.93770589997,65.6955795335885,69.6927437641723,100.0
56,AVB,True,100.0,76.8574224045557,76.8574224045557,74.5222945880971,80.0969417011172,76.5401895175414,100.0
57,AVY,False,,55.4484806325978,55.4484806325978,62.0018115942029,52.2818110850897,50.7657854469701,100.0
58,BKR.O,True,100.0,81.1400796356542,81.1400796356542,93.1236179113123,86.6191295777011,59.3668583964751,100.0
59,BALL.K,True,100.0,76.6689401634824,76.6689401634824,83.8315217391304,77.3778298204527,64.4851409398447,100.0
60,BAC,True,100.0,42.3352542211312,73.8596976314516,87.705504253368,90.9638826053298,44.7556090186751,10.8108108108108
61,BBWI.K,True,100.0,60.3769764014087,60.3769764014087,66.2755315962862,72.0375565610859,44.4714986265509,100.0
62,BAX,True,100.0,83.5950655768907,83.5950655768907,76.1950942075482,85.0286156892613,85.160877901296,100.0
63,BDX,True,100.0,73.7266649537152,84.1199965740971,76.4896750860409,86.5404806842723,84.4938425234592,63.3333333333333
64,WRB,False,,42.0232928197888,42.0232928197888,8.33333333333333,37.1976294146105,58.8832199546485,100.0
65,BRKb,False,,36.2977919057101,36.2977919057101,28.7452651515151,40.2607375559594,40.9240362811791,95.0
66,BBY,True,99.0,66.3944105742099,82.7888211484198,78.8757112908056,75.0192829794639,93.3781962649558,50.0
67,BIO,False,,45.2444542974027,45.2444542974027,17.393396721694,55.520958205498,44.7108843537415,100.0
68,TECH.O,False,,45.9404367125131,45.9404367125131,0.0,64.2349140238548,59.8990929705215,100.0
69,BIIB.O,True,100.0,73.7983409640986,76.4855708170861,77.4535123966941,84.0690331435469,64.4426838486071,71.1111111111111
70,BLK,False,,65.9786456153574,65.9786456153574,33.1086763848541,78.0322966507177,65.6609977324263,80.9523809523809
71,BK,True,100.0,63.7705599014756,68.0173102791417,89.1621947839014,85.7991095162148,46.6581033497409,59.5238095238095
72,BA,True,100.0,54.7851034366731,80.1584421674638,81.9514834758738,80.4417971617322,78.4594417712884,29.4117647058823
73,BKNG.O,False,,25.021808811814,25.021808811814,15.3183874139626,24.2287712287712,34.9444444444444,100.0
74,BWA,True,100.0,54.1741535916449,54.1741535916449,53.6255932872474,51.8756790560411,58.8623140313035,100.0
75,BXP,True,100.0,69.3459030488295,69.3459030488295,75.1417177040307,67.6765685519991,64.1514388953413,100.0
76,BSX,True,100.0,77.4291357257142,77.4291357257142,58.9810709910751,92.1268826581014,66.6861991409029,86.6666666666666
77,BMY,True,100.0,76.4027892733221,76.4027892733221,71.8735242030696,83.7379225659507,68.7623011264126,100.0
78,AVGO.O,False,,31.287067819108,31.287067819108,17.1151885830785,35.1513643901703,41.9172335600907,100.0
79,BR,False,,43.7883859143564,43.7883859143564,6.7416225749559,34.7617914708856,81.2551020408163,100.0
80,BRO,False,,29.8610289530774,41.5402397243367,0.0,27.9253922178451,71.2709750566893,18.1818181818181
81,BFb,True,100.0,59.4066404618741,59.4066404618741,67.488105857865,54.7427677240761,58.2852257434138,100.0
82,CHRW.O,False,,39.8142549822642,39.8142549822642,20.7577418926103,65.3110161443494,29.5362811791383,100.0
83,CDNS.O,False,,45.3996647808659,45.3996647808659,24.2424242424242,46.9634701570283,50.4002267573696,100.0
84,CZR.O,False,,19.1934396136076,19.1934396136076,0.0,33.6706626706626,14.7517006802721,100.0
85,CPT,False,,49.1879655734376,49.1879655734376,39.2313535583725,53.7866123543506,56.4863945578231,100.0
86,CPB,True,100.0,86.9731314786047,91.8034058143523,87.8847863933542,96.1378246398884,88.624974651107,82.1428571428571
87,COF,True,100.0,68.0960608800705,68.0960608800705,40.5853818892179,78.6441299793121,64.5674372730121,100.0
88,CAH,True,100.0,47.5031464754157,47.5031464754157,43.6385773317591,30.8927418535399,75.1604907545674,95.5555555555555
89,KMX,False,,44.2833671329089,44.2833671329089,16.0125786163521,51.2633136094674,50.6632653061224,100.0
90,CCL,True,11.0,75.6642477416248,75.6642477416248,77.7852507374631,76.0359292648449,73.1978227605405,90.3846153846153
91,CARR.K,,,,,,,,
92,CTLT.K,False,,33.5611247926959,33.5611247926959,12.970041322314,50.6234130041921,23.1626108437955,100.0
93,CAT,True,100.0,64.9470400303861,64.9470400303861,54.6856681474519,81.7660002802144,55.2091606290212,82.3529411764705
94,CBOE.K,False,,46.3034489977495,46.3034489977495,0.0,56.599548112706,51.5,100.0
95,CBRE.K,True,100.0,89.0231110096916,89.0231110096916,81.9812327327478,93.6540444315563,90.7362332466862,100.0
96,CDW.O,False,,53.4331127828044,53.4331127828044,21.807992202729,63.0223325062034,54.6632653061224,100.0
97,CE,False,,42.1679541117637,42.1679541117637,32.4848015113716,37.3429297854199,67.4505927032059,81.25
98,CNC,False,,34.3666455178893,34.3666455178893,3.97163120567376,34.9208619374523,48.8990929705215,100.0
99,CNP,True,100.0,44.0307767468888,44.0307767468888,21.7279160627113,40.1345919151537,89.7604575705621,100.0
100,CDAY.K,False,,12.0095805773367,12.0095805773367,0.0,27.5384615384615,2.24036281179138,100.0
