,Symbol,2021,2020,2019,2018,2017,2016
121,CMCSA.O,9.8,8.56,9.4,8.56,13.63,14.8
122,CMA,,,,,,
123,CAG,7.37,8.96,8.64,6.57,17.16,20.3
124,COP,15.11,-1.08,17.22,15.21,8.47,-4.99
125,ED,,6.71,6.39,6.98,8.36,9.18
126,STZ,11.8,9.9,9.11,9.99,13.83,10.52
127,CEG.O,,,,,,
128,COO,,,12.796,12.43,12.926,12.18
129,CPRT.O,,,,27.5,26.09,
130,GLW,11.4,7.47,8.8,12.904,12.15,12.15
131,CTVA.K,6.02,0.72,3.51,,,
132,CSGP.O,17.65,15.26,16.881,15.16,11.05,16.2
133,COST.O,,37.52,,27.78,23.77,30.78
134,CTRA.K,8.6,8.36,25.98,15.16,,-1.53
135,CCI,7.0,5.19,5.42,4.97,3.7,4.95
136,CSX.O,15.41,13.07,15.22,18.57,14.73,14.63
137,CMI,20.43,18.56,24.07,30.25,23.58,26.35
138,CVS,11.32,10.182,9.82,8.18,15.88,18.67
139,DHI,,23.85,17.53,13.01,18.3,10.54
140,DHR,32.53,30.899,9.97,11.11,8.86,8.4
141,DRI,38.2,25.34,21.1,27.36,22.36,17.31
142,DVA,12.2,15.39,15.62,7.99,11.82,14.52
143,DE,7.32,9.889,7.11,5.74,7.65,9.09
144,DAL,-13.14,-38.345,21.89,18.5,19.78,39.78
145,XRAY.O,,6.36,12.12,6.5,9.96,8.69
146,DVN,20.21,4.02,9.37,,,4.4
147,DXCM.O,,37.22,6.47,10.69,-21.42,-39.913
148,FANG.O,17.85,3.31,6.47,5.0,8.71,4.96
149,DLR,1.95,1.64,6.7,10.07,,
150,DFS,,,,,,
151,DISH.O,11.9,7.32,6.25,9.91,4.62,14.03
152,DIS,,3.67,4.98,10.98,16.64,12.53
153,DG,,37.75,19.93,18.69,22.99,24.72
154,DLTR.O,,16.38,13.68,12.099,15.07,15.73
155,D,4.35,,8.9,8.306,7.707,7.71
156,DPZ,,101.87,107.83,122.621,55.2,
157,DOV,14.28,15.394,17.18,19.19,10.36,10.1
158,DOW,,8.36,13.198,,,
159,DTE,5.99,6.1,4.44,5.7,6.15,7.02
160,DUK,5.7,6.54,4.76,4.69,4.83,6.34
161,DD,7.73,,8.6,11.19,8.07,
162,DXC,,,,20.12,13.17,
163,EMN,15.59,,8.5,11.94,11.45,11.51
164,ETN,,8.93,11.431,11.25,12.38,9.14
165,EBAY.O,,36.66,33.52,27.61,23.095,22.59
166,ECL,9.62,12.09,12.14,11.099,8.69,15.16
167,EIX,,6.34,5.98,7.11,8.09,7.88
168,EW,25.0,30.66,36.059,41.53,37.93,38.06
169,EA.O,38.731,38.32,,170.8,670.703,49.92
170,ELV,16.85,13.688,12.38,10.89,9.29,50.98
171,LLY,18.6,32.32,17.899,36.39,32.83,19.71
172,EMR,13.58,18.75,18.87,20.02,22.33,24.875
173,ENPH.O,74.11,140.22,97.838,169.03,-137.04,-277.86
174,ETR,6.58,7.71,,7.42,6.67,4.66
175,EOG,13.4,5.692,12.47,18.225,4.18,-5.09
176,EPAM.K,48.13,59.35,,59.1,,43.16
177,EQT,,,,,,
178,EFX,,20.04,13.3,14.34,17.59,20.11
179,EQIX.O,,4.22,5.24,5.45,5.22,5.96
180,EQR,3.299,7.01,4.66,4.39,4.29,4.32
181,ESS,4.299,,,3.87,4.9,
182,EL,36.41,33.39,32.29,42.66,29.24,22.11
183,ETSY.O,22.91,,,,,
184,RE,,,,,,
185,EVRG.K,6.34,5.96,6.2,5.09,8.423,8.88
186,ES,5.27,5.25,6.63,5.39,7.79,8.61
187,EXC.O,5.19,,5.299,7.29,7.47,5.74
188,EXPE.O,,-9.77,16.39,15.3,12.27,16.3
189,EXPD.O,,60.07,58.23,74.866,74.24,36.01
190,EXR,10.67,8.18,8.03,8.1,,
191,XOM,10.88,,6.12,9.51,6.86,4.91
192,FFIV.O,,45.21,40.47,76.48,23.0,52.24
193,FDS,19.88,50.21,48.78,46.5,47.7,33.45
194,FAST.O,,30.02,28.367,37.913,36.82,
195,FRT,4.799,4.74,7.93,6.21,5.87,6.62
